,fermi_b,Run,altieri_entropy_index,graph_modularity
0,0.10101010101010101,0,1.790412230614769,0.9020744711846636
150,3.0303030303030303,0,1.6839879871366725,0.3820005614971907
155,3.131313131313131,0,2.14195437341617,0.36196252362145964
420,8.484848484848484,0,1.6154713514735204,0.018016977351097144
159,3.2323232323232323,0,1.6890837219199029,0.4601580416724188
330,6.666666666666667,0,1.6869949575103498,0.019171246876156983
415,8.383838383838384,0,1.548924342383209,0.016661007481018897
170,3.4343434343434343,0,1.6497422269291075,0.435727232291815
175,3.5353535353535355,0,1.7671386426217075,0.44231708342212217
410,8.282828282828282,0,2.052853962094765,0.01689533482996064
180,3.6363636363636362,0,1.6546177997735438,0.291620533213495
406,8.181818181818182,0,1.7042849253042605,0.01778431858705956
185,3.7373737373737375,0,1.697461811638075,0.4461433275611043
190,3.8383838383838382,0,1.8058837975569986,0.2250078973405465
195,3.9393939393939394,0,1.7867132636113083,0.20623108125148035
400,8.080808080808081,0,1.7596521062350052,0.018279197357474852
425,8.585858585858587,0,1.7889306654393384,0.019010894565086315
145,2.929292929292929,0,2.114442388991108,0.41968980276105683
430,8.686868686868687,0,1.995475635233339,0.016743957118772634
138,2.8282828282828283,0,1.721742492858693,0.4677138563271051
456,9.191919191919192,0,1.636335051941486,0.01748092497297704
85,1.7171717171717171,0,2.1890240108583106,0.46355900596319344
90,1.8181818181818181,0,2.0621348509162396,0.4940355866877838
451,9.09090909090909,0,1.6313971440955206,0.01846448363803399
95,1.9191919191919191,0,1.7528208995337553,0.44047005765399305
100,2.0202020202020203,0,1.9339478682630924,0.4801157706886045
106,2.121212121212121,0,2.040143845829836,0.42978388209872453
200,4.040404040404041,0,1.6293749723101476,0.10506583845333456
445,8.98989898989899,0,1.7646800057733114,0.017852153143927185
116,2.323232323232323,0,1.6248989929700066,0.3110384070437942
440,8.88888888888889,0,1.7748565251295405,0.013729367805544651
120,2.4242424242424243,0,1.7906866405453414,0.47537053149062203
125,2.525252525252525,0,1.8672538419255698,0.47538195564404695
435,8.787878787878787,0,2.132114677279253,0.015256561443183131
130,2.6262626262626263,0,1.6307269282232624,0.35129192861417824
135,2.727272727272727,0,1.8689417714866414,0.3068906709541146
110,2.2222222222222223,0,2.1205332711679774,0.48135405926729785
80,1.6161616161616161,0,2.0897427173165886,0.4822185971219486
205,4.141414141414141,0,1.939325036898239,0.18923529824459462
210,4.242424242424242,0,1.7111852967496046,0.3522762686433907
281,5.656565656565657,0,1.4511069261283758,0.02895804370336577
286,5.757575757575758,0,2.015702709596223,0.042591240541607775
355,7.171717171717171,0,1.967344364584045,0.018614266691011433
290,5.858585858585858,0,1.6198937433350804,0.052451372942905694
296,5.959595959595959,0,1.8705503918393955,0.027104900020807097
349,7.070707070707071,0,1.8207400067633324,0.01843668309833721
302,6.0606060606060606,0,1.423135915059328,0.021541401911034607
305,6.161616161616162,0,2.0959240010198426,0.027000698963045022
345,6.96969696969697,0,1.7116718926139185,0.019056666659967008
309,6.262626262626262,0,1.5712147941233248,0.019221496650174225
315,6.363636363636363,0,2.1106258378988922,0.018021145936149813
340,6.8686868686868685,0,1.6525082570847645,0.0181257966171533
320,6.4646464646464645,0,1.6792551201037902,0.01992101287064666
324,6.565656565656566,0,1.7520470785773965,0.01819513814990979
335,6.767676767676767,0,1.975569144738485,0.018839604301430807
360,7.2727272727272725,0,1.975073897725712,0.01913949595460898
275,5.555555555555555,0,1.6696860514015524,0.03493260254328152
