,opinion_max_diff,Run,altieri_entropy_index,graph_modularity
230,2.323232323232323,0,1.6317178886546582,0.4208111388917182
95,0.9595959595959596,0,2.1166950884185107,0.3409528394275526
93,0.9090909090909091,0,2.0575836192640025,0.2953548957147536
291,2.929292929292929,0,0.6672213712691271,0.0796292294413917
369,3.7373737373737375,0,0.4455362894324095,0.053675056538089266
170,1.7171717171717171,0,1.8424520715054942,0.43388862311267007
452,4.545454545454545,0,0.37857080608229615,0.040780960620512355
255,2.5757575757575757,0,0.43872915579639793,0.09507275088097014
85,0.8585858585858586,0,2.1852761134815624,0.36898626523405564
409,4.141414141414141,0,0.5392340459871634,0.07873448153803472
456,4.595959595959596,0,0.39171893540102465,0.043103574506932585
175,1.7676767676767677,0,1.720317713347078,0.3708500615282878
80,0.8080808080808081,0,2.1976946720124197,0.3525219284614858
296,2.9797979797979797,0,0.501312795526182,0.07050600497034332
350,3.5353535353535355,0,0.3780085004748069,0.05440725144287753
75,0.7575757575757576,0,2.19311941026186,0.3676216708407578
460,4.646464646464646,0,0.41848214801538414,0.03074095974233283
180,1.8181818181818181,0,1.5436053437056145,0.30590697760056107
299,3.0303030303030303,0,0.5801702239173555,0.1296986720799852
70,0.7070707070707071,0,2.1812387458465583,0.37083799387299354
405,4.090909090909091,0,0.4007118559908316,0.08069108416727352
66,0.6565656565656566,0,2.191811549066943,0.33749017722139585
186,1.8686868686868687,0,1.6417546560602752,0.4267161515025646
465,4.696969696969697,0,0.363024794487849,0.053498474863808765
250,2.525252525252525,0,0.3286386128190326,0.0859914164778679
190,1.9191919191919191,0,1.7791171573195041,0.39439020690092486
165,1.6666666666666667,0,2.1328337574313987,0.3918834942754629
355,3.5858585858585856,0,0.3197849508538015,0.04513789663131983
415,4.191919191919192,0,0.33662263898671724,0.04530505229564974
101,1.0101010101010102,0,2.176640493857784,0.37907752844003023
141,1.4141414141414141,0,2.163677758272418,0.33915480268092363
135,1.3636363636363635,0,2.1608667148838503,0.32957414331761437
430,4.343434343434343,0,0.35755409720268977,0.055927039078057
363,3.686868686868687,0,0.4763020921327536,0.05025177609178111
426,4.292929292929293,0,0.4791568418716034,0.06799225784315033
130,1.3131313131313131,0,2.1135074548763346,0.4087149291965129
145,1.4646464646464645,0,1.8755238157053105,0.4141419221399052
276,2.7777777777777777,0,0.4452305233796844,0.05948154376672364
267,2.676767676767677,0,0.39999090422051287,0.08326851210378897
435,4.393939393939394,0,0.4208258777104424,0.05161661049190891
360,3.6363636363636362,0,0.28997657913762626,0.035697674521319264
123,1.2626262626262625,0,2.098426384365819,0.44994636117381426
305,3.080808080808081,0,0.4148440443818785,0.054867982725062436
150,1.5151515151515151,0,2.1943609393696653,0.4522832570627043
280,2.8282828282828283,0,0.4821959951295533,0.08517876568248786
117,1.1616161616161615,0,2.195365942306987,0.37635331467716615
382,3.8383838383838382,0,0.38563269412376766,0.03560007539737928
440,4.444444444444445,0,0.39209653779708076,0.05301530011932702
420,4.242424242424242,0,0.2878747202533501,0.03276506836122409
155,1.5656565656565655,0,1.7908278486840628,0.37685214515361465
110,1.1111111111111112,0,2.057666789545665,0.39907773057737467
443,4.494949494949495,0,0.2527071266748421,0.04090431463334046
262,2.6262626262626263,0,0.4143544815437539,0.08210420700136109
105,1.0606060606060606,0,2.1654466114691258,0.4515228554981605
160,1.6161616161616161,0,1.9809073206713048,0.4185102514891065
286,2.878787878787879,0,0.47557493949059493,0.06651136825456996
120,1.2121212121212122,0,1.8916614435316106,0.25893491140695457
59,0.6060606060606061,0,2.1959506763163326,0.3762163207403134
270,2.727272727272727,0,0.5219076279431829,0.06150041051240106
340,3.4343434343434343,0,0.3725380678809113,0.0504657919170598
40,0.40404040404040403,0,2.1746127448907373,0.32571418382275796
19,0.20202020202020202,0,2.1890735121340317,0.35316387541270783
315,3.1818181818181817,0,0.47684834630888684,0.090178365203369
480,4.848484848484849,0,0.23208491688494437,0.04077127328591637
205,2.0707070707070705,0,1.7710078748372509,0.3060212496643781
241,2.4242424242424243,0,0.45202981257422303,0.047733898509218026
33,0.35353535353535354,0,2.197464324668641,0.3234109967003773
13,0.15151515151515152,0,2.1663815218289506,0.3394993246728023
220,2.2222222222222223,0,1.962125009354277,0.43610162813688214
490,4.94949494949495,0,0.42758045124714755,0.05201356946375354
30,0.30303030303030304,0,2.1846126200115954,0.3401408622977246
345,3.484848484848485,0,0.24355115806128375,0.056267302812866404
320,3.2323232323232323,0,0.47348524761659,0.07147893921263504
387,3.9393939393939394,0,0.3352503799257936,0.08003967963864791
27,0.25252525252525254,0,2.1784940775078163,0.3181385405008451
211,2.121212121212121,0,1.4896087360127077,0.2977085723911371
325,3.282828282828283,0,0.4289203907791164,0.06315073880407449
485,4.898989898989899,0,0.37697795802606543,0.0488921456788566
215,2.1717171717171717,0,1.668946096941642,0.477897543755883
395,3.9898989898989896,0,0.48784682298799253,0.0544027856844673
335,3.3838383838383836,0,0.4161636422056248,0.07389152882446406
477,4.797979797979798,0,0.5378775478433621,0.0486525781463929
385,3.888888888888889,0,0.556662029217675,0.07186193300220414
495,5.0,0,0.35890729189784987,0.04791164683363894
470,4.747474747474747,0,0.30467725342311963,0.046107416875465185
54,0.5555555555555556,0,2.1825491884618025,0.3094590593776538
400,4.040404040404041,0,0.35714850989072794,0.049090702357037524
309,3.131313131313131,0,0.41757210912502246,0.05661561460675092
51,0.5050505050505051,0,2.1383648242944218,0.35923799468054385
195,1.9696969696969697,0,1.6656335092793524,0.4738192912343887
9,0.10101010101010101,0,2.1700251456267177,0.32466306056664873
330,3.3333333333333335,0,0.44586151954230974,0.03621403622695083
225,2.2727272727272725,0,1.6384571121003129,0.4207806622187208
235,2.3737373737373737,0,0.6685054679433645,0.12061411107092346
375,3.7878787878787876,0,0.18488188066005132,0.035418094588436644
6,0.050505050505050504,0,2.164832221916418,0.31168275158242603
200,2.0202020202020203,0,1.8202864351619048,0.36480726223310783
245,2.474747474747475,0,1.263787247133925,0.40997500259142483
44,0.45454545454545453,0,2.0899629455169078,0.2696645879872873
7,0.0,0,2.1844887011138856,0.3394481379748832
231,2.323232323232323,1,0.5785918877579949,0.09821791579242192
421,4.242424242424242,1,0.31872131443590807,0.03676528907823067
379,3.8383838383838382,1,0.5408678266737832,0.058268973614645544
146,1.4646464646464645,1,1.8478774267687463,0.45083506777408944
425,4.292929292929293,1,0.27213578719754006,0.037500245481250194
221,2.2222222222222223,1,1.8346982918828205,0.41464051233571253
226,2.2727272727272725,1,0.6623337758285955,0.24870758245592944
265,2.676767676767677,1,0.6214483278748469,0.16597123983391776
151,1.5151515151515151,1,1.783939983681371,0.4832875225292078
366,3.686868686868687,1,0.5340690542247795,0.06896776635969618
386,3.888888888888889,1,0.3936555699600169,0.03478073718784254
246,2.474747474747475,1,0.701598164218957,0.1732680761908354
156,1.5656565656565655,1,2.1223730028145105,0.4155630973764819
401,4.040404040404041,1,0.49496473834774923,0.06256580304776213
191,1.9191919191919191,1,1.6169504302850255,0.23967293382573415
185,1.8686868686868687,1,2.177718095477521,0.40225999133028173
140,1.4141414141414141,1,2.1702701721523803,0.34047880297900324
196,1.9696969696969697,1,1.8737011887519834,0.4235274171810207
406,4.090909090909091,1,0.4819737600027029,0.05300110063776975
376,3.7878787878787876,1,0.45266466799441446,0.06423852340200045
252,2.525252525252525,1,0.4441948104394757,0.08667688814649763
373,3.7373737373737375,1,0.5185940399749015,0.08545010812251078
201,2.0202020202020203,1,1.3158153085262096,0.2685895970690986
396,3.9898989898989896,1,0.5650557673859644,0.07093557275163109
216,2.1717171717171717,1,1.8064801060581819,0.46151866832906663
176,1.7676767676767677,1,1.8946875799983798,0.44607211357087306
171,1.7171717171717171,1,2.120269971520933,0.27109082319623096
206,2.0707070707070705,1,1.1775335134918545,0.38021470184087064
240,2.4242424242424243,1,0.7457047822914522,0.18626680004623541
258,2.5757575757575757,1,0.5627185016441365,0.09137993157751463
210,2.121212121212121,1,1.7291084834807893,0.4650832994452199
331,3.3333333333333335,1,0.2021822129883632,0.041175147763792046
416,4.191919191919192,1,0.37481016095938047,0.04230803192513649
161,1.6161616161616161,1,1.7895954220795514,0.4653690434174316
391,3.9393939393939394,1,0.38131297644275636,0.035856975051832725
261,2.6262626262626263,1,0.6788876013963636,0.09701468543470948
236,2.3737373737373737,1,1.720593069509676,0.4317222132778119
411,4.141414141414141,1,0.5285488619994648,0.06595703767221009
183,1.8181818181818181,1,1.931063002507689,0.38650794820313505
166,1.6666666666666667,1,2.169546280498671,0.31631094735776655
115,1.1616161616161615,1,2.185199836644034,0.32519563871709556
455,4.595959595959596,1,0.5421734641895977,0.043133827081853204
81,0.8080808080808081,1,2.185581557507588,0.33833091191286835
337,3.3838383838383836,1,0.4196055073374757,0.05182825487151119
297,2.9797979797979797,1,0.5541446308273963,0.06858685621092987
77,0.7575757575757576,1,2.0229452626064925,0.3105184421091017
461,4.646464646464646,1,0.3411340652488516,0.040382746674415715
71,0.7070707070707071,1,2.168203876356503,0.32015830022640196
486,4.898989898989899,1,0.6093229516522211,0.06703468204842936
301,3.0303030303030303,1,0.4051126283683144,0.05841391281350628
23,0.20202020202020202,1,2.17748606526628,0.3464689297952249
271,2.727272727272727,1,0.4303975415566167,0.061043637081543076
65,0.6565656565656566,1,2.1733393958420635,0.3287643383883314
63,0.6060606060606061,1,2.1685536124646054,0.32959734448948685
35,0.35353535353535354,1,2.1729356643022384,0.35015354935614573
25,0.25252525252525254,1,2.1821635110380817,0.34463989575424914
346,3.484848484848485,1,0.1797152359364681,0.035698702919939235
57,0.5555555555555556,1,2.0732832962155414,0.33267193776853216
307,3.080808080808081,1,0.36930822703232175,0.052360340240156684
321,3.2323232323232323,1,0.4060798177192065,0.06701777149206903
50,0.5050505050505051,1,2.186120688967843,0.36799615953899517
472,4.747474747474747,1,0.5357133160873268,0.049662475468677164
474,4.797979797979798,1,0.45631186418307396,0.056101183868585425
31,0.30303030303030304,1,2.1477486345577876,0.30350465976052177
46,0.45454545454545453,1,2.1387630945347107,0.3392519857768982
311,3.131313131313131,1,0.48833140412363024,0.07465675309798284
341,3.4343434343434343,1,0.3227954856375241,0.04744173543386168
41,0.40404040404040403,1,2.0993109428593715,0.31145033622087737
316,3.1818181818181817,1,0.2794625659118663,0.06946174100579178
466,4.696969696969697,1,0.37958215753390917,0.04987195688082399
351,3.5353535353535355,1,0.23825273759837595,0.053399783349974445
86,0.8585858585858586,1,2.178796252786001,0.32998258121027213
