,fermi_alpha,Run,altieri_entropy_index,graph_modularity
249,6.040404040404041,0,1.5224924908716997,0.2551645706508198
405,8.545454545454547,0,1.9522912720064636,0.4226228122513588
95,3.5353535353535355,0,1.9413061107191745,0.4071979661746137
324,7.252525252525253,0,2.0713996561376855,0.43570651253854853
320,7.171717171717172,0,2.0855524242393906,0.3999659581517849
410,8.626262626262626,0,1.8995422179762156,0.4397034222909828
90,3.4545454545454546,0,1.928091421977663,0.4079588697162413
182,4.909090909090909,0,0.8131432463390075,0.15407229358653599
85,3.3737373737373737,0,1.602031161107043,0.26604474448734955
314,7.090909090909092,0,1.713552246453632,0.47582687370723553
417,8.707070707070708,0,1.7246619292297596,0.33623518056115476
419,8.787878787878789,0,1.8721925276789233,0.4813318120929204
187,4.98989898989899,0,1.7537706630205803,0.46149100882934824
80,3.2929292929292933,0,1.7885377915946978,0.46627355222310324
190,5.070707070707071,0,2.0805526756636086,0.44427783113591235
424,8.868686868686869,0,1.8743495558076926,0.4696901655980499
310,7.01010101010101,0,1.6794707334375236,0.46133087622328683
74,3.212121212121212,0,1.7751593449792618,0.4608374423372388
430,8.94949494949495,0,1.656302936230443,0.4576701438580012
361,7.818181818181818,0,1.6064796599521862,0.4122582572432642
196,5.151515151515152,0,1.780349496046881,0.43992228366035724
305,6.92929292929293,0,2.0009422516831874,0.4063085262601528
200,5.232323232323233,0,1.988840600292799,0.4127450052374997
65,3.0505050505050506,0,1.9199449574097456,0.4460853975288606
436,9.030303030303031,0,1.7106957340607236,0.36969848647546266
300,6.848484848484849,0,1.8674102143890392,0.43451132597220354
175,4.828282828282829,0,1.8195451020089262,0.45970428654732215
401,8.464646464646465,0,1.6568162263734656,0.3984834735267317
100,3.6161616161616164,0,1.7013394430944695,0.38159972595171304
173,4.747474747474747,0,0.8268891068702027,0.18676492797788097
139,4.262626262626263,0,2.1239146993129667,0.45208357564382995
145,4.343434343434343,0,1.6869836015832558,0.23896447957685524
355,7.737373737373738,0,1.8087639268538225,0.39427451998258
135,4.181818181818182,0,1.7435321552554937,0.3300068603622592
366,7.8989898989899,0,1.7244978449312038,0.4790801721336833
370,7.97979797979798,0,1.2555267905215581,0.31800591068834216
150,4.424242424242424,0,1.9131165965040997,0.46472380479150455
130,4.101010101010101,0,1.6638619497974985,0.40759623841963605
349,7.6565656565656575,0,1.7479324515961132,0.3196294535719178
375,8.060606060606062,0,1.7996174482439382,0.41809138705754023
125,4.020202020202021,0,1.9822654967388045,0.4390466665942617
344,7.575757575757576,0,1.904003739714432,0.4467697431325327
439,9.11111111111111,0,1.9088395038878607,0.4301292713714996
156,4.505050505050505,0,1.7961797838737963,0.33947658367175787
121,3.9393939393939394,0,1.7406223741784785,0.36792870722462434
160,4.5858585858585865,0,2.1458254966931247,0.381306178227424
340,7.494949494949496,0,1.8966734244899999,0.46068209036209895
385,8.222222222222221,0,1.6758213807402473,0.37291583187782507
115,3.858585858585859,0,1.8305369196895223,0.4350166870623452
165,4.666666666666667,0,1.5026466401159442,0.4258696831671738
111,3.7777777777777777,0,1.7008809460469556,0.3080797712398686
390,8.303030303030305,0,1.8024049518582195,0.41766876188192914
335,7.414141414141414,0,0.8234865546261537,0.11345253492216535
105,3.6969696969696972,0,1.8684669394745623,0.4587670498514085
396,8.383838383838384,0,1.5584373641893092,0.3580534515040439
330,7.333333333333334,0,1.7812709307665917,0.4518623240421736
379,8.141414141414142,0,1.7841411700700136,0.3034315285987761
60,2.9696969696969697,0,1.7887503778725582,0.46505653943328373
70,3.1313131313131315,0,1.8470575194525476,0.38214818581708276
