,social_factor,Run,altieri_entropy_index,graph_modularity
416,0.8383838383838385,0,1.593546468349825,0.33644047229590135
206,0.4141414141414142,0,1.6146518143968616,0.31093886947953053
100,0.20202020202020204,0,2.149350345198396,0.39542275411101924
212,0.42424242424242425,0,1.6066199118812996,0.29766569184351344
215,0.43434343434343436,0,2.189200937927603,0.39909452400446954
480,0.9696969696969697,0,2.11796034063759,0.4566486820837211
94,0.19191919191919193,0,2.1585927326125898,0.4218016004147149
455,0.9191919191919192,0,1.7924386123264213,0.45737050009420144
389,0.787878787878788,0,1.7949950378284223,0.47253959121346634
89,0.18181818181818182,0,2.1779636179428388,0.40314134071200847
222,0.4444444444444445,0,1.7023623489780884,0.23520778629567216
225,0.4545454545454546,0,1.9513825842238903,0.42613438184883634
85,0.17171717171717174,0,2.1742868391100107,0.3877379576095795
386,0.7777777777777778,0,1.510057866113293,0.25686806107814825
350,0.7070707070707072,0,1.9216882897049596,0.393671253625916
80,0.16161616161616163,0,2.1404278336947624,0.4445850794650916
430,0.8686868686868687,0,1.6864523707791077,0.3774986752889493
234,0.4747474747474748,0,2.088913335480347,0.43684431607677915
150,0.30303030303030304,0,1.948939232626132,0.353265429550185
484,0.9797979797979799,0,1.7766734170645329,0.4009025866128213
394,0.797979797979798,0,1.9081499809772051,0.44565823501170543
239,0.48484848484848486,0,2.094500947055986,0.4388804944965295
69,0.14141414141414144,0,2.179700337683475,0.3608148980499463
450,0.9090909090909092,0,1.691387687464378,0.40529134439722825
245,0.494949494949495,0,1.7819302651344486,0.47257569847287517
345,0.696969696969697,0,1.8753280494633382,0.4491292670726909
65,0.13131313131313133,0,2.1980180521012422,0.3743807094700298
229,0.4646464646464647,0,1.9982659666515772,0.4341535683942377
105,0.21212121212121213,0,2.181563611534425,0.3943564756982454
355,0.7171717171717172,0,1.8271251877681383,0.4468503326793869
200,0.4040404040404041,0,1.7868314333444473,0.2942442775048527
370,0.7474747474747475,0,1.4855221199129538,0.3994819546408026
156,0.31313131313131315,0,2.007451787732714,0.36260466682428705
426,0.8585858585858587,0,1.7063579493201244,0.4224905590799475
470,0.9494949494949496,0,1.9337078350440853,0.39822225465700467
144,0.29292929292929293,0,2.0787215747387333,0.2776473616761058
160,0.32323232323232326,0,2.1876963965181644,0.39992401632449726
140,0.2828282828282829,0,2.094186604573138,0.29383720547541503
375,0.7575757575757577,0,2.1365480101852605,0.39854421083072145
164,0.33333333333333337,0,1.64647538045657,0.2755472553630105
466,0.9393939393939394,0,1.9975162958712909,0.4298216900737173
135,0.27272727272727276,0,2.189606116120504,0.3805156101646694
171,0.3434343434343435,0,1.704338840771599,0.22777613708028924
366,0.7373737373737375,0,0.8547496257539798,0.37506581534208805
131,0.26262626262626265,0,1.332609351421578,0.15006954251032012
174,0.3535353535353536,0,2.1934885673887496,0.39915350131373284
182,0.36363636363636365,0,2.105116506117479,0.3291668099141767
125,0.25252525252525254,0,2.124555567602526,0.3509887083804403
185,0.37373737373737376,0,2.0318605106317595,0.2569282939145955
380,0.7676767676767677,0,1.7035683400182193,0.38970614394807185
120,0.24242424242424243,0,2.0779826406131514,0.43197413593525347
475,0.9595959595959597,0,1.8827623423803042,0.40418791713514474
190,0.38383838383838387,0,2.133411404370593,0.4288694468213044
115,0.23232323232323235,0,1.8403966767439786,0.26217028111200236
360,0.7272727272727273,0,1.8009848101408794,0.4651055395043663
195,0.393939393939394,0,1.25708715754361,0.1889485928533201
111,0.22222222222222224,0,2.1460883056008226,0.43469595462354554
459,0.9292929292929294,0,1.8476934767838438,0.43369366497707784
250,0.5050505050505051,0,1.7686417816174846,0.4591790585542357
61,0.12121212121212122,0,2.1214678966819425,0.30104173522372746
75,0.15151515151515152,0,2.1978202277464813,0.3688112429366597
290,0.5858585858585859,0,1.7930542768002962,0.4104382752827037
445,0.8989898989898991,0,1.719074241976722,0.3710454518779519
435,0.8787878787878789,0,2.114742313611613,0.4232041888768827
275,0.5555555555555556,0,1.8453022923110836,0.4545039300741884
304,0.6161616161616162,0,1.687590192429391,0.44489179842991255
335,0.6767676767676768,0,1.8367696489693688,0.4430234642463734
35,0.07070707070707072,0,2.1700622164259427,0.30095014713346846
15,0.030303030303030304,0,1.987959299215633,0.2748709994609423
281,0.5656565656565657,0,1.4218670698275158,0.25216716857210586
405,0.8181818181818182,0,2.0283706928261194,0.4390351881433438
301,0.6060606060606061,0,2.1072622852531464,0.3971430094633991
287,0.5757575757575758,0,1.7979851668235973,0.4689044246119676
30,0.06060606060606061,0,1.928765973906108,0.224182115420738
253,0.5151515151515152,0,2.130796550863241,0.3817015612932029
411,0.8282828282828284,0,1.884324508197341,0.4541889130878154
440,0.888888888888889,0,1.897700241582708,0.38746100977809117
26,0.05050505050505051,0,2.1750428049913317,0.3455064023644996
330,0.6666666666666667,0,2.046359051545381,0.3575082335043005
494,1.0,0,1.8863307223615453,0.43818860657825764
23,0.04040404040404041,0,2.140238947209277,0.3035502052057005
490,0.98989898989899,0,1.73088461356307,0.4564223543400713
10,0.020202020202020204,0,2.169911618268201,0.32402339017298293
40,0.08080808080808081,0,2.1569911316973864,0.2612125674639184
295,0.595959595959596,0,2.1268231951259216,0.4665173631910159
310,0.6262626262626263,0,2.0901697511767776,0.4406690822675581
323,0.6565656565656566,0,1.9359879542747638,0.4583542809743526
47,0.09090909090909091,0,2.043094897860164,0.2900329879085545
315,0.6363636363636365,0,2.01870131717012,0.44083954288674576
1,0.010101010101010102,0,2.1170773139054333,0.32580939466221503
420,0.8484848484848485,0,1.1769639977612383,0.3302908528781848
320,0.6464646464646465,0,1.8493321997795902,0.4392960668379585
