,fermi_alpha,Run,altieri_entropy_index,graph_modularity
0,0.0,0,2.180602691589796,0.3088953757866508
175,3.5353535353535355,0,1.903550856930749,0.45365020494133085
180,3.6363636363636362,0,1.5918010715809914,0.33242368426695146
185,3.7373737373737375,0,2.112582299913802,0.45770307290449996
189,3.8383838383838382,0,1.7414450593866209,0.43162770019696867
460,9.292929292929292,0,2.06868316365011,0.45417200980779693
196,3.9393939393939394,0,2.1744056379123564,0.35121263425650256
200,4.040404040404041,0,1.5980997687609344,0.42348615476509155
170,3.4343434343434343,0,2.0767219775407826,0.442235933937479
205,4.141414141414141,0,1.9870123188613709,0.46992235381792913
210,4.242424242424242,0,1.7141348738931703,0.41704930778143806
215,4.343434343434343,0,1.8623176146640197,0.41442056585005727
220,4.444444444444445,0,0.4307154372948568,0.19368580497877863
225,4.545454545454545,0,1.7377525253332249,0.4916905207081341
230,4.646464646464646,0,2.0840712333940155,0.42863834262539974
236,4.747474747474747,0,1.6160456362091737,0.37471801193699067
450,9.09090909090909,0,1.4781242998473503,0.22168041547239153
456,9.191919191919192,0,1.7520711427081836,0.3623592527718788
241,4.848484848484849,0,1.8056396545930158,0.37079509394771354
465,9.393939393939394,0,1.793491409853559,0.39859756053813944
160,3.2323232323232323,0,1.7060475569000975,0.4586839121881698
90,1.8181818181818181,0,2.113270142180375,0.4385071973871111
93,1.9191919191919191,0,1.6601784724321609,0.473460616542172
100,2.0202020202020203,0,2.009373876246516,0.4028595500255434
105,2.121212121212121,0,0.6867439611818532,0.19122421974071213
111,2.2222222222222223,0,1.6195089987924467,0.30213032001872087
475,9.595959595959595,0,1.902620209142521,0.44066852373710275
115,2.323232323232323,0,2.106183244174031,0.41528965644893845
164,3.3333333333333335,0,1.8532612276623686,0.4372304946405132
120,2.4242424242424243,0,1.9056742361020005,0.449935221644
129,2.6262626262626263,0,2.08576616141931,0.46496651704938247
135,2.727272727272727,0,1.943384492729081,0.42744001441518065
139,2.8282828282828283,0,2.0387315972425317,0.4509456493408632
144,2.929292929292929,0,2.182012102555811,0.3858335374555044
469,9.494949494949495,0,1.849997217678001,0.4212333532294613
150,3.0303030303030303,0,1.9441759192661305,0.43890111565652956
155,3.131313131313131,0,1.803792636246485,0.4303049839685291
126,2.525252525252525,0,0.8672888786953937,0.26653063084681805
246,4.94949494949495,0,1.6124581225031307,0.3515628168748695
250,5.05050505050505,0,1.8259277782937375,0.44832823699464874
254,5.151515151515151,0,1.7969590267957103,0.4439883522747523
429,8.686868686868687,0,1.5578070503120578,0.3473443007443267
351,7.070707070707071,0,1.57416052506955,0.34621908142744856
355,7.171717171717171,0,1.722959613501352,0.4716298997705591
361,7.2727272727272725,0,1.7704384523736956,0.47614771829283276
366,7.373737373737374,0,1.9762017884648369,0.45115898039079766
425,8.585858585858587,0,1.7865196002985224,0.46727990088285637
370,7.474747474747475,0,0.8951049757752261,0.16023080135130977
345,6.96969696969697,0,1.8365638847090862,0.48041064621436036
375,7.575757575757575,0,2.116788727661936,0.41263419930091183
386,7.777777777777778,0,0.7641036123914965,0.22729379570662642
389,7.878787878787879,0,2.164537362105777,0.42613357231759696
420,8.484848484848484,0,2.0363911774025607,0.4584907742494417
395,7.979797979797979,0,1.7792204907158102,0.44945745758831185
400,8.080808080808081,0,1.7363643995823776,0.4490382687364662
405,8.181818181818182,0,1.6141623439100332,0.3756165530119052
410,8.282828282828282,0,2.038475958377628,0.4031954785123861
380,7.6767676767676765,0,1.5769353791793734,0.41192180401807565
340,6.8686868686868685,0,1.5897901482684278,0.4040608928003346
