,happiness_threshold,Run,altieri_entropy_index,graph_modularity
120,0.24242424242424243,0,1.8272014063189013,0.33645689886384267
350,0.7070707070707072,0,1.9884924553115617,0.4309857012322893
174,0.3535353535353536,0,1.4119489906455616,0.34122097869377066
93,0.19191919191919193,0,1.9095571532487892,0.3971715327628458
91,0.18181818181818182,0,1.7114387989948763,0.4589716864988531
480,0.9696969696969697,0,1.721221769038621,0.37984639742636084
354,0.7171717171717172,0,2.0103581369899275,0.4239074727336218
428,0.8686868686868687,0,2.1098275917667237,0.45344584081376915
85,0.17171717171717174,0,1.838207907634053,0.43971115365681857
180,0.36363636363636365,0,1.6668657298808078,0.40098784171903057
284,0.5757575757575758,0,1.6671851163933928,0.44754333500031374
80,0.16161616161616163,0,0.7814902013245381,0.15998374066381796
360,0.7272727272727273,0,1.845281305863018,0.4441670232084787
185,0.37373737373737376,0,2.1754552408551935,0.36645237162145583
281,0.5656565656565657,0,2.1406344011701965,0.4396738844278022
74,0.15151515151515152,0,2.1447140901539363,0.43765249268991346
460,0.9292929292929294,0,1.7396485456210113,0.48813873824126974
190,0.38383838383838387,0,1.5939111651848408,0.25960360624535195
71,0.14141414141414144,0,2.0118081547422153,0.4510735926194761
470,0.9494949494949496,0,1.9187300803685623,0.4532488195327302
366,0.7373737373737375,0,1.8737116375862233,0.4288373429630644
425,0.8585858585858587,0,1.8564693368760914,0.4187120120218696
65,0.13131313131313133,0,0.9522808378653544,0.40223875343637727
485,0.9797979797979799,0,1.8154441614209647,0.45335442636648676
370,0.7474747474747475,0,2.1162370843479197,0.47538950155062704
195,0.393939393939394,0,1.5687138068407296,0.33335883507741876
291,0.5858585858585859,0,1.6880466989848706,0.4750495490293254
170,0.3434343434343435,0,1.9002560146094958,0.4111435919352422
344,0.696969696969697,0,1.9277203539421652,0.44389079897922656
100,0.20202020202020204,0,1.8536820090585846,0.4066436495191539
313,0.6363636363636365,0,1.9066249894178955,0.457468389281242
145,0.29292929292929293,0,1.6038380915942152,0.3706577715560407
134,0.27272727272727276,0,1.9587352262651772,0.46132270673803777
435,0.8787878787878789,0,1.7420230592957702,0.4636771867133111
321,0.6464646464646465,0,1.945371112327372,0.41791843255159633
129,0.26262626262626265,0,1.763331007836652,0.44655596689448773
310,0.6262626262626263,0,1.688938951984804,0.33699433433891796
325,0.6565656565656566,0,1.965949423822231,0.3552893187964419
150,0.30303030303030304,0,1.9415240880507598,0.42010318460476126
125,0.25252525252525254,0,1.841844797115109,0.46361396790642795
473,0.9595959595959597,0,2.1409603280547054,0.4145184180056304
303,0.6161616161616162,0,1.9586957416839792,0.4253060490387381
275,0.5555555555555556,0,1.75603536285331,0.4304941405602464
239,0.48484848484848486,0,2.073717441539553,0.4737481506650526
155,0.31313131313131315,0,1.6133122473293078,0.3541106171748166
115,0.23232323232323235,0,1.7003434992901498,0.4810819643002181
160,0.32323232323232326,0,1.6549680057688525,0.37714845035998396
336,0.6767676767676768,0,1.7128962545610242,0.4650803645941104
110,0.22222222222222224,0,2.1599687728642616,0.3831886592131267
300,0.6060606060606061,0,1.5611344586744618,0.4002818627788557
165,0.33333333333333337,0,1.9267991282179167,0.42884152864961556
465,0.9393939393939394,0,1.9313863910225615,0.4151593982462855
105,0.21212121212121213,0,1.8179328350350559,0.4654680212475654
340,0.686868686868687,0,1.5912696962201829,0.4040947848922833
296,0.595959595959596,0,1.532431376891666,0.219882181462013
440,0.888888888888889,0,2.132935837434012,0.36857105078805
330,0.6666666666666667,0,1.812348787094033,0.3844615066812431
59,0.12121212121212122,0,1.906083628064071,0.39075995833776256
140,0.2828282828282829,0,1.672371845309288,0.3729584802099545
375,0.7575757575757577,0,1.5931146831001313,0.47716148075392806
215,0.43434343434343436,0,1.7866148015712324,0.39649260699547684
260,0.5252525252525253,0,2.0366636046230173,0.3911881966086461
30,0.06060606060606061,0,1.9505976329307304,0.40786747549291935
420,0.8484848484848485,0,1.5840494819733935,0.39099301376487233
444,0.8989898989898991,0,1.727237338906946,0.47238983042035293
220,0.4444444444444445,0,0.9334192503459982,0.16451049555384972
26,0.05050505050505051,0,0.6556726055927369,0.17393573810279403
400,0.8080808080808082,0,1.7809842004954666,0.4853433244444445
255,0.5151515151515152,0,2.1261002392871213,0.41964174121321385
225,0.4545454545454546,0,1.7359971314933877,0.41475509914999675
20,0.04040404040404041,0,1.8620817443803377,0.3886997609106271
35,0.07070707070707072,0,1.9825029640912015,0.4493601411080671
250,0.5050505050505051,0,1.9574044246792603,0.4632560286829289
14,0.030303030303030304,0,1.885213788677873,0.4127589292873793
231,0.4646464646464647,0,1.508457855840164,0.3524053019057934
495,1.0,0,1.6776806585134552,0.43263631733702634
10,0.020202020202020204,0,1.8149931062082207,0.4361147971430961
235,0.4747474747474748,0,1.4833683279025696,0.35117271133472117
411,0.8282828282828284,0,1.796944600029968,0.47871524684627204
6,0.0,0,1.6574058519516324,0.41092754901230766
449,0.9090909090909092,0,1.7101352963069858,0.42925987969423096
244,0.494949494949495,0,1.6321861874900874,0.4917621976140131
413,0.8383838383838385,0,2.177089029032223,0.3690792478225508
1,0.010101010101010102,0,1.8174461277983467,0.4237010687724748
407,0.8181818181818182,0,1.4038146210309725,0.35558018184466966
389,0.787878787878788,0,1.9325452647381471,0.44294743413981486
395,0.797979797979798,0,2.106826032017776,0.4331711012320566
490,0.98989898989899,0,1.7133847126932944,0.27713882947394675
200,0.4040404040404041,0,1.197243743591491,0.3737920431655224
54,0.11111111111111112,0,1.9387194308604632,0.43269504630859457
270,0.5454545454545455,0,1.518494634396054,0.40866457393735234
205,0.4141414141414142,0,1.750320043836836,0.3983814102808245
49,0.10101010101010102,0,1.811457624053211,0.39968881264998335
266,0.5353535353535354,0,1.8478903350983522,0.4200030115870344
45,0.09090909090909091,0,1.9683026739845446,0.44800490515662794
385,0.7777777777777778,0,1.6608143359005008,0.4402743257114237
210,0.42424242424242425,0,0.9742365409235382,0.24927750563018378
382,0.7676767676767677,0,1.5957009744628823,0.39386354920694605
40,0.08080808080808081,0,1.90046281900196,0.36936503813192484
455,0.9191919191919192,0,1.848635614840147,0.4184482347714149
211,0.42424242424242425,1,1.5385380698156876,0.3471827514373065
306,0.6161616161616162,1,2.153753630510235,0.43635604376185727
151,0.30303030303030304,1,1.6121520960255562,0.3944709275273683
