,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,4.34375,1.1328125,0.38671875,1,4.33984375,0.64453125,0.0,0.26737405299774986,0.18341118733214237,0.10360464766365457,0.0
1,4.15625,9.6484375,0.44921875,1,9.61328125,0.64453125,1.0,0.26737405299774986,0.18341118733214237,0.10360464766365457,0.0
2,8.34375,6.1328125,0.88671875,3,8.83984375,0.64453125,2.0,0.08845314497860546,0.10549375011461805,0.007379522148297735,0.0
3,8.15625,6.1328125,0.88671875,3,8.83984375,0.64453125,3.0,0.08845314497860546,0.10549375011461805,0.007379522148297735,0.0
4,8.34375,4.6484375,0.88671875,3,8.83984375,0.64453125,4.0,0.2057655806286507,0.17978481586712633,0.008666260051135577,0.0
5,8.34375,6.1328125,0.94921875,3,8.83984375,0.64453125,5.0,0.13045392932883984,0.15442575752777643,0.0032704038505008137,0.0
6,8.34375,6.1328125,0.88671875,3,8.83984375,0.64453125,6.0,0.17678367540545495,0.16405563087846117,0.00794203129049803,0.0
7,8.34375,6.1328125,0.88671875,3,5.11328125,0.64453125,7.0,0.13803396996388212,0.13096762633704295,0.007953967889412855,0.0
8,8.34375,6.1328125,0.88671875,3,8.83984375,0.14453125,8.0,0.178251385050948,0.15773238527635167,0.008158999480498141,0.0
9,8.15625,4.6484375,0.94921875,3,5.11328125,0.14453125,9.0,0.178251385050948,0.15773238527635167,0.008158999480498141,0.0
10,4.34375,1.1328125,0.38671875,1,4.33984375,0.64453125,10.0,0.178251385050948,0.15773238527635167,0.008158999480498141,1.0
11,4.15625,9.6484375,0.44921875,1,9.61328125,0.64453125,11.0,0.178251385050948,0.15773238527635167,0.008158999480498141,1.0
12,8.34375,6.1328125,0.88671875,3,8.83984375,0.64453125,12.0,0.11529294038919484,0.1052107155133696,0.008320854766757146,1.0
13,8.15625,6.1328125,0.88671875,3,8.83984375,0.64453125,13.0,0.11529294038919484,0.1052107155133696,0.008320854766757146,1.0
14,8.34375,4.6484375,0.88671875,3,8.83984375,0.64453125,14.0,0.09322322148977875,0.10349885725005643,0.011711730620732774,1.0
15,8.34375,6.1328125,0.94921875,3,8.83984375,0.64453125,15.0,0.18419818297404222,0.161924911014896,0.00723037021055517,1.0
16,8.34375,6.1328125,0.88671875,3,8.83984375,0.64453125,16.0,0.2937027179839075,0.1785471170474161,0.007429586754332723,1.0
17,8.34375,6.1328125,0.88671875,3,5.11328125,0.64453125,17.0,0.20738783995852467,0.1904345242407981,0.0037833475351618795,1.0
18,8.34375,6.1328125,0.88671875,3,8.83984375,0.14453125,18.0,0.09280163335509624,0.05745317850581077,0.005994494202801709,1.0
19,8.15625,4.6484375,0.94921875,3,5.11328125,0.14453125,19.0,0.13045392932883984,0.15442575752777643,0.0032704038505008137,1.0
