,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,9.09375,7.0703125,0.41796875,2,1.24609375,0.05078125,0.0,2.184921135541403,1.7748400220532283,0.03285966909164151,0.0
1,3.90625,7.0703125,0.41796875,2,1.24609375,0.05078125,1.0,2.184921135541403,1.7748400220532283,0.03285966909164151,0.0
2,9.09375,3.7109375,0.41796875,2,1.24609375,0.05078125,2.0,2.1885894985331547,1.7731830675100835,0.21106508509864702,0.0
3,9.09375,7.0703125,0.48046875,2,1.24609375,0.05078125,3.0,2.1489646964863494,1.757742845875444,0.03166581936855094,0.0
4,9.09375,7.0703125,0.41796875,4,1.24609375,0.05078125,4.0,2.160536081158472,1.75519201146644,0.0,0.0
5,9.09375,7.0703125,0.41796875,2,8.76953125,0.05078125,5.0,0.14639527713941228,0.14266588495902024,0.027325034595595765,0.0
6,9.09375,7.0703125,0.41796875,2,1.24609375,0.36328125,6.0,2.1487673011982995,1.7351792010791975,0.036417203388147024,0.0
7,3.90625,3.7109375,0.48046875,4,8.76953125,0.36328125,7.0,2.1487673011982995,1.7351792010791975,0.036417203388147024,0.0
8,7.09375,4.5703125,0.66796875,3,3.49609375,0.30078125,8.0,2.1487673011982995,1.7351792010791975,0.036417203388147024,0.0
9,9.90625,4.5703125,0.66796875,3,3.49609375,0.30078125,9.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,0.0
10,9.09375,7.0703125,0.41796875,2,1.24609375,0.05078125,10.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
11,3.90625,7.0703125,0.41796875,2,1.24609375,0.05078125,11.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
12,9.09375,3.7109375,0.41796875,2,1.24609375,0.05078125,12.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
13,9.09375,7.0703125,0.48046875,2,1.24609375,0.05078125,13.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
14,9.09375,7.0703125,0.41796875,4,1.24609375,0.05078125,14.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
15,9.09375,7.0703125,0.41796875,2,8.76953125,0.05078125,15.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
16,9.09375,7.0703125,0.41796875,2,1.24609375,0.36328125,16.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
17,3.90625,3.7109375,0.48046875,4,8.76953125,0.36328125,17.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
18,7.09375,4.5703125,0.66796875,3,3.49609375,0.30078125,18.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,1.0
19,9.90625,4.5703125,0.66796875,3,3.49609375,0.30078125,19.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,1.0
20,9.09375,7.0703125,0.41796875,2,1.24609375,0.05078125,20.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
21,3.90625,7.0703125,0.41796875,2,1.24609375,0.05078125,21.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
22,9.09375,3.7109375,0.41796875,2,1.24609375,0.05078125,22.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
23,9.09375,7.0703125,0.48046875,2,1.24609375,0.05078125,23.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
24,9.09375,7.0703125,0.41796875,4,1.24609375,0.05078125,24.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
25,9.09375,7.0703125,0.41796875,2,8.76953125,0.05078125,25.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
26,9.09375,7.0703125,0.41796875,2,1.24609375,0.36328125,26.0,0.13580361922824727,0.09706167747247002,0.009291841577879545,2.0
27,3.90625,3.7109375,0.48046875,4,8.76953125,0.36328125,27.0,0.23565351800502918,0.21391428052328432,0.010306912830203102,2.0
