,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,7.28125,3.3984375,0.80078125,4,1.38671875,0.82421875,0,2.1919321738660185,1.7684772541283786,0.3401209824088441
23,3.28125,8.3984375,0.30078125,2,3.42578125,0.32421875,0,0.20498003672552012,0.14736884203333794,0.02653071660659291
35,3.28125,8.3984375,0.97265625,2,3.42578125,0.32421875,0,0.19406939659523811,0.20139884750212095,0.025303608376334247
37,3.28125,8.3984375,0.30078125,1,3.42578125,0.32421875,0,0.2648966174322973,0.22073777392027738,0.05427103348509797
45,3.28125,8.3984375,0.30078125,2,5.88671875,0.32421875,0,0.09917160456667498,0.11318167498093533,0.025795954617471743
50,2.84375,0.1953125,0.97265625,1,5.88671875,0.32421875,0,0.22490594964915891,0.1266467812175082,0.278874207469764
85,8.34375,3.3203125,0.66015625,3,6.44921875,0.38671875,0,0.17003264455838032,0.19185190393944648,0.01245511454874823
55,3.78125,1.5234375,0.86328125,1,9.61328125,0.38671875,0,0.2963056116198791,0.23696425063136253,0.14939682218429465
26,3.28125,0.1953125,0.30078125,2,3.42578125,0.32421875,0,0.26962776636865726,0.22281928654279606,0.6221636894438666
77,3.78125,1.5234375,0.86328125,1,6.44921875,0.38671875,0,0.40132480757305733,0.27250135521543895,0.13694777378126208
11,7.28125,3.3984375,0.80078125,4,7.92578125,0.82421875,0,0.0,0.0,0.0
27,2.84375,8.3984375,0.30078125,2,3.42578125,0.32421875,0,0.31157765260669823,0.222158773395689,0.02719111715962693
60,8.34375,1.5234375,0.86328125,1,9.61328125,0.38671875,0,0.2907242639942915,0.19745482865334862,0.11347930951244606
76,3.78125,1.5234375,0.86328125,3,9.61328125,0.38671875,0,0.33280096198114256,0.27025088660351054,0.09486663346485957
65,3.78125,3.3203125,0.86328125,1,9.61328125,0.38671875,0,0.13493261047323102,0.13433620478737543,0.06172159964802977
4,7.28125,3.3984375,0.80078125,3,7.92578125,0.82421875,0,0.14135916061974912,0.1246814030753829,0.011686211242960293
69,3.78125,1.5234375,0.66015625,1,9.61328125,0.38671875,0,0.26121588253938566,0.21970219044594708,0.07294844320903915
10,6.84375,5.1953125,0.47265625,3,1.38671875,0.82421875,0,1.893231703527445,1.583808813720717,0.07518843772495179
61,8.34375,1.5234375,0.86328125,1,9.61328125,0.38671875,1,0.4545363338861355,0.3750586865384395,0.09204567477551492
