,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
65,7.53125,6.9140625,0.62109375,3,8.98046875,0.12890625,0,0.15618343710252566,0.14358953979251676,0.005652777269124609
85,3.46875,6.9140625,0.62109375,3,5.25390625,0.12890625,0,0.1350847702378094,0.14641035349901577,1.1102230246251565e-16
25,3.53125,1.9140625,0.12109375,1,4.48046875,0.62890625,0,0.271660497899911,0.26723968167124645,0.13746220282758628
35,7.46875,1.9140625,0.77734375,1,4.48046875,0.62890625,0,0.31257823565753917,0.27936547564227043,0.10222338251378234
79,3.46875,6.9140625,0.62109375,1,8.98046875,0.12890625,0,0.17969330827349414,0.1556264876042394,0.057609121111247254
40,7.46875,1.9140625,0.12109375,3,4.48046875,0.62890625,0,0.44829880154135177,0.2613526742363218,0.06143719901661963
20,7.46875,1.9140625,0.12109375,1,4.48046875,0.62890625,0,0.40017303036188806,0.29501317734265486,0.1684323449808463
44,7.46875,1.9140625,0.12109375,1,9.75390625,0.62890625,0,0.17791947183303494,0.15930138531245944,0.0924550213715138
90,3.46875,6.9140625,0.62109375,3,8.98046875,0.41015625,0,0.06732661927108814,0.07381022861695233,0.0058844471124467335
75,3.46875,6.9140625,0.27734375,3,8.98046875,0.12890625,0,0.10484854676086922,0.06855604470795426,0.006439234538941768
13,9.53125,9.4921875,0.52734375,4,7.50390625,0.66015625,0,0.15835375015455563,0.13555905816905717,0.0
50,7.46875,1.9140625,0.12109375,1,4.48046875,0.91015625,0,0.6413935692117743,0.5467228353796288,0.2007775675156864
30,7.46875,6.9921875,0.12109375,1,4.48046875,0.62890625,0,0.170095466952752,0.17150118912589965,0.05585874248588557
9,9.46875,9.4140625,0.87109375,4,2.23046875,0.66015625,0,1.8941285763922533,1.5325675861473989,0.0
95,7.53125,1.9921875,0.27734375,1,5.25390625,0.41015625,0,0.3406427564968598,0.2885051535453405,0.09959176513667382
7,9.46875,9.4140625,0.87109375,4,7.50390625,0.87890625,0,0.17398557046816637,0.1575640675545074,1.1102230246251565e-16
55,3.53125,6.9921875,0.77734375,3,9.75390625,0.91015625,0,0.10423543460567346,0.09101064474215306,0.007618893315475023
2,9.46875,9.4140625,0.87109375,4,2.23046875,0.87890625,0,1.659591349772744,1.3300949647546692,0.0
68,3.46875,1.9921875,0.62109375,3,8.98046875,0.12890625,0,0.1130271242933326,0.11238206355373942,0.02637917574284679
60,3.46875,6.9140625,0.62109375,3,8.98046875,0.12890625,0,0.07322261155546213,0.06110454845582905,0.004106421387391146
71,3.46875,1.9921875,0.62109375,3,8.98046875,0.12890625,1,0.16706930616409127,0.11645911320688207,0.03696676037899416
61,3.46875,6.9140625,0.62109375,3,8.98046875,0.12890625,1,0.16211597317634924,0.12298810932790773,0.007490896516172102
66,7.53125,6.9140625,0.62109375,3,8.98046875,0.12890625,1,0.2460146952993672,0.2133657457741325,0.004039842305179259
80,3.46875,6.9140625,0.62109375,1,8.98046875,0.12890625,1,0.1923303804563961,0.19638162445085663,0.053625704142989776
56,3.53125,6.9921875,0.77734375,3,9.75390625,0.91015625,1,0.07833431929437111,0.0736231433084695,0.0
51,7.46875,1.9140625,0.12109375,1,4.48046875,0.91015625,1,0.5675718614272295,0.5088031886833564,0.25309089847578864
41,7.46875,1.9140625,0.12109375,3,4.48046875,0.62890625,1,0.5983042639681324,0.5275524034826963,0.14953068988633217
76,3.46875,6.9140625,0.27734375,3,8.98046875,0.12890625,1,0.2876191628705808,0.27575277041717505,0.0045618438509051895
31,7.46875,6.9921875,0.12109375,1,4.48046875,0.62890625,1,0.33744773986355603,0.3068878952583429,0.063223175353921
36,7.46875,1.9140625,0.77734375,1,4.48046875,0.62890625,1,0.46079746947349576,0.3536916032363974,0.22169847623613428
