,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,4.15625,9.4921875,0.34765625,3,1.03515625,0.62109375,0.0,2.1585566587318943,1.7347343147981764,0.006384690319211878,0.0
1,4.15625,9.4921875,0.34765625,1,1.52734375,0.62109375,1.0,2.074339676687641,1.7169251714343907,0.05898983391870787,0.0
2,4.15625,9.4921875,0.34765625,1,1.03515625,0.77734375,2.0,2.142772407919254,1.7498378446419856,0.057602454355122124,0.0
3,7.71875,2.8515625,0.89453125,3,1.52734375,0.77734375,3.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
4,5.15625,3.2421875,0.22265625,1,2.16015625,0.99609375,4.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
5,2.71875,3.2421875,0.22265625,1,2.16015625,0.99609375,5.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
6,5.15625,9.1015625,0.22265625,1,2.16015625,0.99609375,6.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
7,5.15625,3.2421875,0.26953125,1,2.16015625,0.99609375,7.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
8,5.15625,3.2421875,0.22265625,2,2.16015625,0.99609375,8.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
9,5.15625,3.2421875,0.22265625,1,7.15234375,0.99609375,9.0,2.117906417259581,1.7281693506501532,0.4467563036528449,0.0
10,4.15625,9.4921875,0.34765625,3,1.03515625,0.62109375,10.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
11,4.15625,9.4921875,0.34765625,1,1.52734375,0.62109375,11.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
12,4.15625,9.4921875,0.34765625,1,1.03515625,0.77734375,12.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
13,7.71875,2.8515625,0.89453125,3,1.52734375,0.77734375,13.0,2.185428701922572,1.7742798608759796,0.5439781516804718,1.0
14,5.15625,3.2421875,0.22265625,1,2.16015625,0.99609375,14.0,2.185428701922572,1.7742798608759796,0.5439781516804718,1.0
15,2.71875,3.2421875,0.22265625,1,2.16015625,0.99609375,15.0,2.185428701922572,1.7742798608759796,0.5439781516804718,1.0
16,5.15625,9.1015625,0.22265625,1,2.16015625,0.99609375,16.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
17,5.15625,3.2421875,0.26953125,1,2.16015625,0.99609375,17.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
18,5.15625,3.2421875,0.22265625,2,2.16015625,0.99609375,18.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
19,5.15625,3.2421875,0.22265625,1,7.15234375,0.99609375,19.0,2.117906417259581,1.7281693506501532,0.4467563036528449,1.0
20,4.15625,9.4921875,0.34765625,3,1.03515625,0.62109375,20.0,2.185428701922572,1.7742798608759796,0.5439781516804718,2.0
21,4.15625,9.4921875,0.34765625,1,1.52734375,0.62109375,21.0,2.185428701922572,1.7742798608759796,0.5439781516804718,2.0
22,4.15625,9.4921875,0.34765625,1,1.03515625,0.77734375,22.0,2.185428701922572,1.7742798608759796,0.5439781516804718,2.0
23,7.71875,2.8515625,0.89453125,3,1.52734375,0.77734375,23.0,1.8087712002504486,1.4622140721764265,0.42391411848782756,2.0
24,5.15625,3.2421875,0.22265625,1,2.16015625,0.99609375,24.0,2.117906417259581,1.7281693506501532,0.4467563036528449,2.0
25,2.71875,3.2421875,0.22265625,1,2.16015625,0.99609375,25.0,1.8087712002504486,1.4622140721764265,0.42391411848782756,2.0
26,5.15625,9.1015625,0.22265625,1,2.16015625,0.99609375,26.0,2.185428701922572,1.7742798608759796,0.5439781516804718,2.0
27,5.15625,3.2421875,0.26953125,1,2.16015625,0.99609375,27.0,2.185428701922572,1.7742798608759796,0.5439781516804718,2.0
28,5.15625,3.2421875,0.22265625,2,2.16015625,0.99609375,28.0,2.117906417259581,1.7281693506501532,0.4467563036528449,2.0
29,5.15625,3.2421875,0.22265625,1,7.15234375,0.99609375,29.0,2.117906417259581,1.7281693506501532,0.4467563036528449,2.0
30,4.15625,9.4921875,0.34765625,3,1.03515625,0.62109375,30.0,2.185428701922572,1.7742798608759796,0.5439781516804718,3.0
31,4.15625,9.4921875,0.34765625,1,1.52734375,0.62109375,31.0,2.117906417259581,1.7281693506501532,0.4467563036528449,3.0
