,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,6.34375,3.6328125,0.13671875,2,6.58984375,0.89453125,0,0.21134476577571792,0.21449215662395008,0.02818778589753055
79,2.46875,0.6640625,0.99609375,3,7.85546875,0.25390625,0,0.27365121284500793,0.18599817647158584,0.08288374510948045
75,6.15625,7.1484375,0.19921875,2,7.36328125,0.89453125,0,0.25241398996135533,0.2050518248247763,0.027072235980286068
70,2.34375,8.6328125,0.63671875,4,2.08984375,0.89453125,0,1.6144482272977851,1.2563145346773643,0.0
66,2.34375,8.6328125,0.63671875,4,7.36328125,0.39453125,0,0.23386068868744958,0.18230535876520138,0.0
85,2.53125,0.6640625,0.99609375,3,7.85546875,0.25390625,0,0.3547684881751339,0.24313846794744245,0.08146056036940855
60,2.34375,8.6328125,0.63671875,2,2.08984375,0.39453125,0,1.5214248438435933,1.202141125797705,0.026613754864432647
55,2.34375,8.6328125,0.19921875,4,2.08984375,0.39453125,0,1.7929582335431553,1.5133039392200383,0.0
50,2.34375,7.1484375,0.63671875,4,2.08984375,0.39453125,0,1.5358007295665173,1.2325123054808413,0.0
46,6.15625,8.6328125,0.63671875,4,2.08984375,0.39453125,0,0.6626814768827645,0.598813066062175,0.0
90,2.46875,5.7421875,0.99609375,3,7.85546875,0.25390625,0,0.08068890674766363,0.08616687892842485,0.007156415321865506
35,2.15625,2.1484375,0.69921875,4,2.86328125,0.39453125,0,0.23526067204484494,0.16803144014823942,0.030392204171886372
30,6.34375,3.6328125,0.13671875,2,6.58984375,0.39453125,0,0.3596438309149571,0.301885859814977,0.029326669808883186
25,6.34375,3.6328125,0.13671875,2,2.86328125,0.89453125,0,0.38371433746438216,0.34800800222472383,0.041484651175104456
20,6.34375,3.6328125,0.13671875,4,6.58984375,0.89453125,0,0.4029492870729378,0.29815072878768845,0.00045970216558610666
94,2.46875,0.6640625,0.90234375,3,7.85546875,0.25390625,0,0.35727257924334693,0.17581440158997935,0.06863830940171253
40,2.34375,8.6328125,0.63671875,4,2.08984375,0.39453125,0,1.3666979318467223,1.0042804709800195,0.0
15,6.34375,3.6328125,0.69921875,2,6.58984375,0.89453125,0,0.14307777619216439,0.1279360464257089,0.030964719910378774
8,6.34375,2.1484375,0.13671875,2,6.58984375,0.89453125,0,0.32090561703627213,0.2592587950011915,0.08067199893190724
4,2.15625,3.6328125,0.13671875,2,6.58984375,0.89453125,0,0.28448154759549354,0.2654217214726038,0.03874817501636515
81,2.46875,0.6640625,0.99609375,3,7.85546875,0.25390625,1,0.5054434032966729,0.21931306574883216,0.15055778869588943
51,2.34375,7.1484375,0.63671875,4,2.08984375,0.39453125,1,0.4576873854774247,0.41754710507715614,0.0
45,6.15625,8.6328125,0.63671875,4,2.08984375,0.39453125,1,1.9684732510436667,1.5636762493404202,0.0
57,2.34375,8.6328125,0.19921875,4,2.08984375,0.39453125,1,1.677257521903549,1.3568535844020735,0.0
41,2.34375,8.6328125,0.63671875,4,2.08984375,0.39453125,1,1.5802059997628275,1.2634575109241535,1.1102230246251565e-16
10,6.34375,2.1484375,0.13671875,2,6.58984375,0.89453125,1,0.2033609924805799,0.17179419690315165,0.045371433662716586
86,2.53125,0.6640625,0.99609375,3,7.85546875,0.25390625,1,0.20621698706231434,0.132508289238638,0.06371155354240948
6,2.15625,3.6328125,0.13671875,2,6.58984375,0.89453125,1,0.4875860819529395,0.34349305567057264,0.034449762727888335
36,2.15625,2.1484375,0.69921875,4,2.86328125,0.39453125,1,0.3023245099845616,0.247832185230348,0.07355533991219522
61,2.34375,8.6328125,0.63671875,2,2.08984375,0.39453125,1,1.555864560836042,1.2488804715352,0.02640804133399529
91,2.46875,5.7421875,0.99609375,3,7.85546875,0.25390625,1,0.217073567255905,0.16801435701446232,0.006494426807714476
65,2.34375,8.6328125,0.63671875,4,7.36328125,0.39453125,1,0.168628254248904,0.17551253575229597,0.0
16,6.34375,3.6328125,0.69921875,2,6.58984375,0.89453125,1,0.12942995066540752,0.1217910991361428,0.028903334987418965
76,6.15625,7.1484375,0.19921875,2,7.36328125,0.89453125,1,0.13176691699005638,0.10138211683024076,0.02738962451034123
71,2.34375,8.6328125,0.63671875,4,2.08984375,0.89453125,1,1.5722896206834553,1.2669049137714419,1.1102230246251565e-16
95,2.46875,0.6640625,0.90234375,3,7.85546875,0.25390625,1,0.1993897029401191,0.17566642889248785,0.06998228404882399
24,6.34375,3.6328125,0.13671875,2,2.86328125,0.89453125,1,0.6865903550760347,0.48834748682451345,0.05939212561582512
2,6.34375,3.6328125,0.13671875,2,6.58984375,0.89453125,1,0.07454551280087256,0.06853905160423346,0.028923006985873394
31,6.34375,3.6328125,0.13671875,2,6.58984375,0.39453125,1,0.2489183071912869,0.20200154331776315,0.030277503475255377
21,6.34375,3.6328125,0.13671875,4,6.58984375,0.89453125,1,0.42188744634083253,0.3168645073595138,0.003735636298627165
77,6.15625,7.1484375,0.19921875,2,7.36328125,0.89453125,2,0.03324272304439498,0.04445491925194385,0.02645082522454371
52,2.34375,7.1484375,0.63671875,4,2.08984375,0.39453125,2,1.363388656820976,1.0749411648764964,0.0
87,2.53125,0.6640625,0.99609375,3,7.85546875,0.25390625,2,0.22448875419137587,0.1328921091950174,0.15437218402014152
67,2.34375,8.6328125,0.63671875,4,7.36328125,0.39453125,2,0.035332933499371104,0.04070825173291784,0.0
