,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,6.84375,6.7578125,0.69921875,2,2.65234375,0.83203125,0.0,0.21947436251973207,0.19313900801115946,0.025506066135413685,0.0
1,6.84375,6.7578125,0.69921875,1,2.30078125,0.83203125,1.0,0.4110470348686734,0.3470217288542371,0.054652544201160835,0.0
2,6.84375,6.7578125,0.69921875,1,2.65234375,0.33203125,2.0,0.1271291623274034,0.1387517103368261,0.05593604841059453,0.0
3,8.65625,4.0234375,0.88671875,2,2.30078125,0.33203125,3.0,1.670316977732608,1.3260160577444355,0.3786499109644557,0.0
4,8.84375,4.2578125,0.44921875,4,4.90234375,0.58203125,4.0,0.05966949197087875,0.06768098886427408,0.0,0.0
5,2.65625,4.2578125,0.44921875,4,4.90234375,0.58203125,5.0,0.05966949197087875,0.06768098886427408,0.0,0.0
6,8.84375,1.5234375,0.44921875,4,4.90234375,0.58203125,6.0,0.35043746146364896,0.2990915282600045,0.2385750118428145,0.0
7,8.84375,4.2578125,0.63671875,4,4.90234375,0.58203125,7.0,0.19160770879380803,0.15057051015311762,0.0,0.0
8,8.84375,4.2578125,0.44921875,1,4.90234375,0.58203125,8.0,0.23719150606433836,0.2081583425589872,0.0567144835942699,0.0
9,8.84375,4.2578125,0.44921875,4,4.55078125,0.58203125,9.0,0.16982064053777013,0.16815313453206313,0.0,0.0
10,6.84375,6.7578125,0.69921875,2,2.65234375,0.83203125,10.0,0.16982064053777013,0.16815313453206313,0.0,1.0
11,6.84375,6.7578125,0.69921875,1,2.30078125,0.83203125,11.0,0.16982064053777013,0.16815313453206313,0.0,1.0
12,6.84375,6.7578125,0.69921875,1,2.65234375,0.33203125,12.0,0.16982064053777013,0.16815313453206313,0.0,1.0
13,8.65625,4.0234375,0.88671875,2,2.30078125,0.33203125,13.0,0.16982064053777013,0.16815313453206313,0.0,1.0
14,8.84375,4.2578125,0.44921875,4,4.90234375,0.58203125,14.0,0.2059262111103909,0.13332721797930736,0.0,1.0
15,2.65625,4.2578125,0.44921875,4,4.90234375,0.58203125,15.0,0.2059262111103909,0.13332721797930736,0.0,1.0
16,8.84375,1.5234375,0.44921875,4,4.90234375,0.58203125,16.0,0.9199154644287025,0.5595556761359696,0.3426627404489072,1.0
17,8.84375,4.2578125,0.63671875,4,4.90234375,0.58203125,17.0,0.21632314234142272,0.1491171706043402,0.0,1.0
18,8.84375,4.2578125,0.44921875,1,4.90234375,0.58203125,18.0,0.12359204289795453,0.10450311886441917,0.06348272422314315,1.0
19,8.84375,4.2578125,0.44921875,4,4.55078125,0.58203125,19.0,0.18466204452180246,0.14922803184912192,1.1102230246251565e-16,1.0
20,6.84375,6.7578125,0.69921875,2,2.65234375,0.83203125,20.0,0.05966949197087875,0.06768098886427408,0.0,2.0
21,6.84375,6.7578125,0.69921875,1,2.30078125,0.83203125,21.0,0.35043746146364896,0.2990915282600045,0.2385750118428145,2.0
22,6.84375,6.7578125,0.69921875,1,2.65234375,0.33203125,22.0,0.19160770879380803,0.15057051015311762,0.0,2.0
23,8.65625,4.0234375,0.88671875,2,2.30078125,0.33203125,23.0,0.23719150606433836,0.2081583425589872,0.0567144835942699,2.0
24,8.84375,4.2578125,0.44921875,4,4.90234375,0.58203125,24.0,0.190255417395479,0.18783808795119195,0.0,2.0
25,2.65625,4.2578125,0.44921875,4,4.90234375,0.58203125,25.0,0.21632314234142272,0.1491171706043402,0.0,2.0
26,8.84375,1.5234375,0.44921875,4,4.90234375,0.58203125,26.0,0.3488998133043931,0.1143876838467933,0.05371134259212003,2.0
27,8.84375,4.2578125,0.63671875,4,4.90234375,0.58203125,27.0,0.2700864975791065,0.25068859556652073,0.0006624961251867345,2.0
28,8.84375,4.2578125,0.44921875,1,4.90234375,0.58203125,28.0,0.0731137142932183,0.0677868355836895,0.05977767059202804,2.0
29,8.84375,4.2578125,0.44921875,4,4.55078125,0.58203125,29.0,0.2641795403869746,0.2434525680238597,0.0,2.0
30,6.84375,6.7578125,0.69921875,2,2.65234375,0.83203125,30.0,0.05966949197087875,0.06768098886427408,0.0,3.0
31,6.84375,6.7578125,0.69921875,1,2.30078125,0.83203125,31.0,0.23719150606433836,0.2081583425589872,0.0567144835942699,3.0
32,6.84375,6.7578125,0.69921875,1,2.65234375,0.33203125,32.0,0.9199154644287025,0.5595556761359696,0.3426627404489072,3.0
33,8.65625,4.0234375,0.88671875,2,2.30078125,0.33203125,33.0,0.9199154644287025,0.5595556761359696,0.3426627404489072,3.0
34,8.84375,4.2578125,0.44921875,4,4.90234375,0.58203125,34.0,0.21429355216018445,0.15914909494799248,0.0,3.0
35,2.65625,4.2578125,0.44921875,4,4.90234375,0.58203125,35.0,0.21632314234142272,0.1491171706043402,0.0,3.0
36,8.84375,1.5234375,0.44921875,4,4.90234375,0.58203125,36.0,0.18430797369538654,0.13142230795307863,0.1188543049751522,3.0
37,8.84375,4.2578125,0.63671875,4,4.90234375,0.58203125,37.0,0.18104148677406293,0.15070685713653012,1.1102230246251565e-16,3.0
38,8.84375,4.2578125,0.44921875,1,4.90234375,0.58203125,38.0,0.1953692545171035,0.17162112244552094,0.05580015702910831,3.0
39,8.84375,4.2578125,0.44921875,4,4.55078125,0.58203125,39.0,0.06878635304336989,0.08768431827403271,0.0,3.0
40,6.84375,6.7578125,0.69921875,2,2.65234375,0.83203125,40.0,0.3488998133043931,0.1143876838467933,0.05371134259212003,4.0
41,6.84375,6.7578125,0.69921875,1,2.30078125,0.83203125,41.0,0.2700864975791065,0.25068859556652073,0.0006624961251867345,4.0
42,6.84375,6.7578125,0.69921875,1,2.65234375,0.33203125,42.0,0.2700864975791065,0.25068859556652073,0.0006624961251867345,4.0
43,8.65625,4.0234375,0.88671875,2,2.30078125,0.33203125,43.0,0.0731137142932183,0.0677868355836895,0.05977767059202804,4.0
44,8.84375,4.2578125,0.44921875,4,4.90234375,0.58203125,44.0,0.1726104581037536,0.14353416522602885,0.0,4.0
