,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,4.46875,8.1640625,0.24609375,2,5.60546875,0.00390625,0,0.20968841470752334,0.17224100219596233,0.025729089660332886
50,5.46875,4.4921875,0.37109375,2,6.73046875,0.37890625,0,0.20138914144135217,0.1571676151440463,0.025545418083565925
29,4.46875,8.1640625,0.24609375,2,5.60546875,0.03515625,0,0.09166728075841167,0.058370287356754584,0.02614944822613912
20,4.46875,8.1640625,0.24609375,3,5.60546875,0.00390625,0,0.11263900053254676,0.10358461498631759,0.0062891306919801715
75,9.46875,9.4140625,0.87109375,4,2.23046875,0.87890625,0,1.6553282264603273,1.325399455267634,0.0
65,5.46875,4.4140625,0.37109375,2,6.73046875,0.16015625,0,0.0,0.0,0.02500665098431425
15,4.46875,8.1640625,0.65234375,2,5.60546875,0.00390625,0,0.03421847945525853,0.04221371491964858,0.026008939244849805
60,5.46875,4.4140625,0.37109375,2,3.00390625,0.37890625,0,0.32002406037498876,0.25553883433702035,0.030810578488459736
81,9.53125,9.4140625,0.87109375,4,2.23046875,0.87890625,0,0.42977257056677315,0.35741670844233897,1.1102230246251565e-16
24,4.46875,8.1640625,0.24609375,2,6.37890625,0.00390625,0,0.32317125357908194,0.2539310703335833,0.027652625214135654
35,8.53125,8.2421875,0.65234375,3,6.37890625,0.03515625,0,0.06812043497232102,0.061105063344634586,0.00830040883923469
9,4.46875,8.2421875,0.24609375,2,5.60546875,0.00390625,0,0.13270163850669983,0.12522671076402966,0.026405560578855215
55,5.46875,4.4140625,0.02734375,2,6.73046875,0.37890625,0,0.3840048459770923,0.2773071181148194,0.027166134854685733
40,5.46875,4.4140625,0.37109375,2,6.73046875,0.37890625,0,0.1725795784343556,0.1565063167249421,0.029781271071413346
5,8.53125,8.1640625,0.24609375,2,5.60546875,0.00390625,0,0.12929544519449138,0.14037879557038452,0.026853262655218525
90,9.46875,9.4140625,0.52734375,4,2.23046875,0.87890625,0,1.4690055375252604,1.1695110403099789,0.0
44,5.53125,4.4140625,0.37109375,2,6.73046875,0.37890625,0,0.18985390677503985,0.16644729015848816,0.025320981540889978
85,9.46875,9.4921875,0.87109375,4,2.23046875,0.87890625,0,1.505223254465928,1.157296367227575,0.0
70,5.53125,4.4921875,0.02734375,2,3.00390625,0.16015625,0,0.5522327092954894,0.4691325399763999,0.037451560774891
36,8.53125,8.2421875,0.65234375,3,6.37890625,0.03515625,1,0.1517749857722196,0.16121334089335848,0.007300819502596562
56,5.46875,4.4140625,0.02734375,2,6.73046875,0.37890625,1,0.21552919784546035,0.2217345039394507,0.027521241584748543
