,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
0,4.34375,6.5234375,0.36328125,3,5.11328125,0.88671875,0,0.4187057720998806,0.37787553669320784,0.005255260181021099
35,9.78125,4.0234375,0.61328125,2,2.86328125,0.63671875,0,0.29448679042213616,0.18585095588740091,0.027894642123299628
37,6.34375,4.0234375,0.61328125,2,2.86328125,0.63671875,0,0.18894164580574352,0.19478190614575422,0.0472977311050197
45,9.78125,5.8203125,0.61328125,2,2.86328125,0.63671875,0,0.17642427688961448,0.1916196344182773,0.028774967844215116
50,9.78125,4.0234375,0.41015625,2,2.86328125,0.63671875,0,0.35500965082358343,0.34370399271709756,0.03490438600713269
17,7.78125,6.5234375,0.36328125,1,5.11328125,0.88671875,0,0.14906717167029693,0.18079510863482084,0.05932352733621902
55,9.78125,4.0234375,0.61328125,2,4.19921875,0.63671875,0,0.15077996414461362,0.12739290037524606,0.02908739909152698
14,7.78125,6.5234375,0.16015625,3,5.11328125,0.88671875,0,0.40332519417491636,0.3589764474682142,0.005711038725049883
30,4.34375,8.3203125,0.16015625,1,1.94921875,0.88671875,0,1.6706873869146057,1.3853927821336227,0.0589268513003882
60,6.34375,5.8203125,0.41015625,2,4.19921875,0.63671875,0,0.2456196312828475,0.1986610592716262,0.02471844188732198
26,7.78125,6.5234375,0.36328125,3,1.94921875,0.88671875,0,2.0922276987777706,1.6822167426158732,0.006816657033653195
65,5.78125,9.0234375,0.11328125,4,7.36328125,0.13671875,0,0.2506061473992502,0.2607835047879578,0.0
71,2.34375,9.0234375,0.11328125,4,7.36328125,0.13671875,0,0.19625050002425604,0.14515447296445536,1.1102230246251565e-16
73,5.78125,0.8203125,0.11328125,4,7.36328125,0.13671875,0,0.1341338662717824,0.11178278052746764,0.11874831170481395
3,7.78125,6.5234375,0.36328125,3,5.11328125,0.88671875,0,0.18525079921373624,0.1554637146230673,0.006016601968295954
80,5.78125,9.0234375,0.91015625,4,7.36328125,0.13671875,0,0.12890841134852205,0.14561007193532155,1.1102230246251565e-16
10,7.78125,8.3203125,0.36328125,3,5.11328125,0.88671875,0,0.07903273108593166,0.07876727206084845,0.005948278794167539
61,6.34375,5.8203125,0.41015625,2,4.19921875,0.63671875,1,0.1410195903201724,0.13744741408701236,0.02742022327237368
66,5.78125,9.0234375,0.11328125,4,7.36328125,0.13671875,1,0.24560739006726595,0.17678441872297596,0.0
70,2.34375,9.0234375,0.11328125,4,7.36328125,0.13671875,1,0.23365880741576395,0.19198267055161605,0.0
51,9.78125,4.0234375,0.41015625,2,2.86328125,0.63671875,1,0.33225995708471373,0.31173676835821973,0.032371115931161244
75,5.78125,0.8203125,0.11328125,4,7.36328125,0.13671875,1,0.0,0.0,0.10499812611876647
47,9.78125,5.8203125,0.61328125,2,2.86328125,0.63671875,1,0.18178726044916133,0.15694677327823411,0.028577796068526173
36,9.78125,4.0234375,0.61328125,2,2.86328125,0.63671875,1,0.16270658359622947,0.1127440249054079,0.030801266231802023
82,5.78125,9.0234375,0.91015625,4,7.36328125,0.13671875,1,0.11393100478621795,0.11560233940645077,1.1102230246251565e-16
