,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
58,0.890625,0.9140625,0.86328125,2.640625,0.95703125,0,1.6397848696702866,1.2960904291398376,0.3468030345312917
25,0.640625,5.0390625,0.30078125,3.890625,0.26953125,0,0.13247236915754568,0.09947365369024296,1.1102230246251565e-16
30,0.640625,5.0390625,0.30078125,1.171875,0.13671875,0,2.1677029205182294,1.7690473024418258,0.1127018907993747
45,1.546875,0.9140625,0.86328125,0.421875,0.95703125,0,2.191233004480975,1.7701058864789587,0.8169635843780443
20,0.640625,5.0390625,0.01953125,1.171875,0.26953125,0,2.1682563832389716,1.755459838254105,0.1057388474831602
55,0.890625,4.7578125,0.86328125,0.421875,0.95703125,0,2.1007433080732123,1.7222349410636102,0.12742518085204205
90,2.890625,3.9140625,0.36328125,0.640625,0.45703125,0,2.1523146968580344,1.7257724155150376,0.23869234849837265
71,2.890625,3.9140625,0.36328125,2.421875,0.45703125,0,0.35229259334854257,0.3080139994320243,0.0
50,0.890625,0.9140625,0.33203125,0.421875,0.95703125,0,2.130323929469532,1.726140068281656,0.9177751338488993
73,1.546875,4.7578125,0.33203125,2.640625,0.57421875,0,0.26035691055875143,0.20070616466631386,0.0
12,1.296875,5.0390625,0.30078125,1.171875,0.26953125,0,2.1066648096130214,1.6749302996395694,0.07342322840606247
28,1.296875,0.6328125,0.01953125,3.890625,0.13671875,0,0.5381701225696577,0.5534147192294987,0.5408117315373171
80,3.546875,3.9140625,0.36328125,2.421875,0.45703125,0,0.3158384795746914,0.2678526894349166,0.0
79,2.890625,1.7578125,0.36328125,2.421875,0.45703125,0,1.6583495637867713,1.3421057384872586,0.434541022661304
8,0.640625,0.6328125,0.30078125,1.171875,0.26953125,0,2.093794167232193,1.6921745112342834,0.9313865932047747
6,3.296875,3.6328125,0.51953125,1.890625,0.63671875,0,1.004339298813293,0.7986784734444224,0.08126602427283669
5,0.640625,5.0390625,0.30078125,1.171875,0.26953125,0,2.166989572452015,1.7692585826327456,0.11698037512911483
61,0.890625,0.9140625,0.86328125,0.421875,0.57421875,0,2.187441665417241,1.7872805612142058,0.8619806094182817
40,0.890625,0.9140625,0.86328125,0.421875,0.95703125,0,2.1419516089092636,1.7101270990840065,0.9092286327483913
93,2.890625,3.9140625,0.83203125,2.421875,0.45703125,0,0.1753851842444044,0.16401619887391874,0.0
51,0.890625,0.9140625,0.33203125,0.421875,0.95703125,1,2.1821644226695094,1.7495706937786886,0.9078792980308138
33,1.296875,0.6328125,0.01953125,3.890625,0.13671875,1,0.7630862927311941,0.5343553169029973,0.6753842726665181
78,3.546875,3.9140625,0.36328125,2.421875,0.45703125,1,2.1803882603591394,1.728028224277509,0.1918989211190625
66,0.890625,0.9140625,0.86328125,0.421875,0.57421875,1,2.1589414245490297,1.7401586626541443,0.8914457008089223
31,0.640625,5.0390625,0.30078125,1.171875,0.13671875,1,2.1989720815714175,1.7851510215976447,0.11168891646886725
41,0.890625,0.9140625,0.86328125,0.421875,0.95703125,1,2.1980382219829626,1.7618985105045386,0.8710420158779866
46,1.546875,0.9140625,0.86328125,0.421875,0.95703125,1,2.186992529515243,1.7583037931013792,0.7546755002704164
0,3.296875,3.6328125,0.51953125,1.890625,0.63671875,1,1.9153243098719546,1.5513854213314426,0.4216363092042896
76,1.546875,4.7578125,0.33203125,2.640625,0.57421875,1,0.1905973014837345,0.1398121664798944,0.0
23,0.640625,5.0390625,0.01953125,1.171875,0.26953125,1,2.1444016552270107,1.7755896494169225,0.079138552547252
87,2.890625,1.7578125,0.36328125,2.421875,0.45703125,1,1.4796859702404752,1.190003914364825,0.42271523263276284
16,1.296875,5.0390625,0.30078125,1.171875,0.26953125,1,2.170955147106922,1.771147190875125,0.09276594097299562
92,2.890625,3.9140625,0.83203125,2.421875,0.45703125,1,0.26743138149289614,0.27027400168660787,0.00019177721214742177
70,2.890625,3.9140625,0.36328125,2.421875,0.45703125,1,1.4329897285029896,1.173775906668271,0.12436757706583067
10,0.640625,0.6328125,0.30078125,1.171875,0.26953125,1,2.1770292573559513,1.7700929498345734,0.9176932223543407
94,2.890625,3.9140625,0.36328125,0.640625,0.45703125,1,2.1818563361641243,1.7799423060018436,0.26134789472530673
59,0.890625,4.7578125,0.86328125,0.421875,0.95703125,1,2.1779648523604127,1.7776559148744409,0.12266291681385177
3,0.640625,5.0390625,0.30078125,1.171875,0.26953125,1,2.17322102981486,1.7730508392646542,0.13440301254875264
62,0.890625,0.9140625,0.86328125,2.640625,0.95703125,1,1.4531838192759663,1.1229972792399057,0.4682670586969772
27,0.640625,5.0390625,0.30078125,3.890625,0.26953125,1,0.2307604360286693,0.20337355804661622,0.0
52,0.890625,0.9140625,0.33203125,0.421875,0.95703125,2,2.1959103468601855,1.7653930333699095,0.8801576783989584
72,1.546875,4.7578125,0.33203125,2.640625,0.57421875,2,0.4281360858893585,0.33666593179574805,0.0
47,1.546875,0.9140625,0.86328125,0.421875,0.95703125,2,2.157910235319144,1.7321335949506091,0.7564395725010378
67,0.890625,0.9140625,0.86328125,0.421875,0.57421875,2,2.1565172453628496,1.7476499661225868,0.8903190914007569
54,0.890625,4.7578125,0.86328125,0.421875,0.95703125,2,2.191961765589478,1.77716965241405,0.14657790916854666
65,0.890625,0.9140625,0.86328125,2.640625,0.95703125,2,1.5745654714231188,1.2558831145972824,0.27974692382428146
42,0.890625,0.9140625,0.86328125,0.421875,0.95703125,2,2.1733583491075494,1.7478490653643317,0.8393020092629254
2,3.296875,3.6328125,0.51953125,1.890625,0.63671875,2,1.5616926015070531,1.187903856910134,0.34861770990068813
84,3.546875,3.9140625,0.36328125,2.421875,0.45703125,2,0.24587759595726047,0.20401257882109158,0.0
34,1.296875,0.6328125,0.01953125,3.890625,0.13671875,2,0.8921348495808237,0.8030931633644862,0.7619916765755056
29,0.640625,5.0390625,0.30078125,1.171875,0.13671875,2,2.188804196904048,1.7739379965074489,0.10678991810424779
26,0.640625,5.0390625,0.30078125,3.890625,0.26953125,2,0.19705542567001894,0.159553902296787,0.0
86,2.890625,1.7578125,0.36328125,2.421875,0.45703125,2,1.3913812271528851,1.130155788620445,0.33953446907991425
22,0.640625,5.0390625,0.01953125,1.171875,0.26953125,2,2.200300910460185,1.7750661125777545,0.11415273613267196
77,2.890625,3.9140625,0.36328125,2.421875,0.45703125,2,0.25492744529152006,0.25036523253410403,0.0006694891263634706
91,2.890625,3.9140625,0.83203125,2.421875,0.45703125,2,0.4136373016884886,0.3561806442225678,0.0019590984636564668
14,0.640625,0.6328125,0.30078125,1.171875,0.26953125,2,2.0900574209662826,1.6905018382684727,0.9342597180307199
13,1.296875,5.0390625,0.30078125,1.171875,0.26953125,2,2.18806227377781,1.778517656822388,0.08585096744643106
95,2.890625,3.9140625,0.36328125,0.640625,0.45703125,2,2.1015785948197836,1.7030921483397614,0.22158211868681876
4,0.640625,5.0390625,0.30078125,1.171875,0.26953125,2,2.0420307331457552,1.6725198997243664,0.10629493428504408
96,2.890625,3.9140625,0.83203125,2.421875,0.45703125,3,0.2520607601640813,0.20813674132327203,0.0
88,2.890625,1.7578125,0.36328125,2.421875,0.45703125,3,0.7838337139777072,0.6116276757683438,0.3351376622178186
75,1.546875,4.7578125,0.33203125,2.640625,0.57421875,3,0.2899219344748146,0.24706239713841563,0.0
81,2.890625,3.9140625,0.36328125,2.421875,0.45703125,3,0.18680740255709571,0.16723202634708825,0.0
68,0.890625,0.9140625,0.86328125,0.421875,0.57421875,3,2.053796515457121,1.7150139558837074,0.883840887854923
85,3.546875,3.9140625,0.36328125,2.421875,0.45703125,3,0.26816012184657423,0.26314355032373526,0.0
99,2.890625,3.9140625,0.36328125,0.640625,0.45703125,3,2.1619968620705903,1.756667574534851,0.21692547874029297
24,0.640625,5.0390625,0.01953125,1.171875,0.26953125,3,2.1842109984486253,1.7754393452753479,0.11333918198082535
1,3.296875,3.6328125,0.51953125,1.890625,0.63671875,3,1.5254453951986156,1.2346811452317537,0.4527742475714658
64,0.890625,0.9140625,0.86328125,2.640625,0.95703125,3,1.6153575673458749,1.2699914929251863,0.4138278225118408
56,0.890625,4.7578125,0.86328125,0.421875,0.95703125,3,2.1713751255823097,1.7628999170221795,0.17351381596317483
53,0.890625,0.9140625,0.33203125,0.421875,0.95703125,3,2.1887352059037317,1.7678321183093957,0.8830612244897953
11,0.640625,5.0390625,0.30078125,1.171875,0.26953125,3,2.183288895259542,1.7704258497146494,0.09434179083735536
