,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
71,2.78125,5.2734375,0.73828125,1,8.48828125,0.26171875,0,0.21464592621564513,0.1656165334147924,0.057315287579513804
75,5.34375,9.5703125,0.03515625,2,3.07421875,0.26171875,0,0.8147505079723785,0.6895776030332199,0.02574494322643626
38,9.34375,4.5703125,0.53515625,4,7.57421875,0.76171875,0,0.18611849523840235,0.19395905115379625,0.0004246824549361053
50,2.78125,9.5703125,0.73828125,1,8.48828125,0.01171875,0,0.25079699385620174,0.2331495772881199,0.058133178132045236
35,2.78125,5.2734375,0.73828125,1,8.48828125,0.01171875,0,0.3263827619804091,0.2628412944753711,0.056059436190944625
30,6.78125,0.2734375,0.23828125,3,3.98828125,0.76171875,0,0.5322354575246246,0.4130189433380407,0.0684848352519741
25,6.78125,0.2734375,0.23828125,3,7.57421875,0.51171875,0,0.46533528244678407,0.33851899702613764,0.06646286001845428
87,3.59375,0.5859375,0.33203125,4,2.58203125,0.79296875,0,0.4322433813393773,0.2830323103546885,0.04747927662738274
44,5.34375,5.2734375,0.73828125,1,8.48828125,0.01171875,0,0.07031507331883491,0.06480107524624888,0.058489221922342266
20,6.78125,0.2734375,0.23828125,4,3.98828125,0.51171875,0,0.5783269054999435,0.416910656667526,0.06070890696115095
90,2.53125,0.5859375,0.12890625,4,2.58203125,0.79296875,0,0.16556194691956522,0.1673199316884901,0.057632594540556394
16,6.78125,4.5703125,0.23828125,3,3.98828125,0.51171875,0,0.1070516236914973,0.11411623576417741,0.009621804163826492
57,2.78125,5.2734375,0.03515625,1,8.48828125,0.01171875,0,0.16033399481529895,0.17937756796295404,0.05667872616125684
76,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,0,0.21374109040385764,0.19455652123320785,0.0476660481651935
60,2.78125,5.2734375,0.73828125,2,8.48828125,0.01171875,0,0.21307425776605696,0.1799694863458845,0.026722105540971923
93,2.53125,4.8828125,0.33203125,4,2.58203125,0.79296875,0,0.5455901539034415,0.39956920893484454,0.0008593457905143181
9,6.78125,0.2734375,0.53515625,3,3.98828125,0.51171875,0,0.3605462923016071,0.2888580084889868,0.08722886888960033
3,6.78125,0.2734375,0.23828125,3,3.98828125,0.51171875,0,0.5295635766943311,0.44475833787020486,0.08841155056047485
62,2.78125,5.2734375,0.73828125,1,3.07421875,0.01171875,0,0.0,0.0,0.05802128084211971
6,9.34375,0.2734375,0.23828125,3,3.98828125,0.51171875,0,0.5057181991941392,0.326236144652571,0.06360509059303676
78,5.34375,9.5703125,0.03515625,2,3.07421875,0.26171875,1,0.391380344712404,0.35557616519172053,0.02561856237845946
41,9.34375,4.5703125,0.53515625,4,7.57421875,0.76171875,1,0.23308721041563393,0.20329328701865998,0.0
47,5.34375,5.2734375,0.73828125,1,8.48828125,0.01171875,1,0.16687597972508839,0.16021891757390266,0.06045402711331479
1,6.78125,0.2734375,0.23828125,3,3.98828125,0.51171875,1,0.4243111550547514,0.31361929781679754,0.07840184253437306
37,2.78125,5.2734375,0.73828125,1,8.48828125,0.01171875,1,0.26016870606199927,0.21620146508793361,0.05747557164883662
80,2.53125,0.5859375,0.33203125,4,2.58203125,0.79296875,1,0.20887784413429009,0.1986568201925477,0.05407569286447158
64,2.78125,5.2734375,0.73828125,1,3.07421875,0.01171875,1,0.21026503547940478,0.20895608765692364,0.05941912782394771
31,6.78125,0.2734375,0.23828125,3,3.98828125,0.76171875,1,0.5001949235438391,0.37030418920374025,0.08204489772195325
61,2.78125,5.2734375,0.73828125,2,8.48828125,0.01171875,1,0.22811573683637068,0.1991927899975669,0.026516420832640913
52,2.78125,9.5703125,0.73828125,1,8.48828125,0.01171875,1,0.21539696690765683,0.19282179036357872,0.0570244106969298
85,3.59375,0.5859375,0.33203125,4,2.58203125,0.79296875,1,0.28761669455749095,0.19791192340624159,0.0490326911309841
54,2.78125,5.2734375,0.03515625,1,8.48828125,0.01171875,1,0.142876645338122,0.09003408189177706,0.05456819430991651
