,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,9.90625,6.6796875,0.75390625,1,9.19140625,0.52734375,0.0,0.0,0.0,0.05643263315563422,0.0
1,2.96875,6.6796875,0.75390625,1,9.19140625,0.52734375,1.0,0.0,0.0,0.05643263315563422,0.0
2,9.90625,6.9140625,0.75390625,1,9.19140625,0.52734375,2.0,0.17927546083520507,0.1711099033056114,0.05824410496461951,0.0
3,9.90625,6.6796875,0.73828125,1,9.19140625,0.52734375,3.0,0.10801023538184516,0.11572594800285554,0.05578176147525716,0.0
4,9.90625,6.6796875,0.75390625,4,9.19140625,0.52734375,4.0,0.2406614219662058,0.18183696895697196,0.0,0.0
5,9.90625,6.6796875,0.75390625,1,2.93359375,0.52734375,5.0,0.1996392509167556,0.19779134130922937,0.05832382573190905,0.0
6,9.90625,6.6796875,0.75390625,1,9.19140625,0.05859375,6.0,0.20057332153988744,0.14134189323554147,0.05500062360578231,0.0
7,2.96875,6.9140625,0.73828125,4,2.93359375,0.05859375,7.0,0.20057332153988744,0.14134189323554147,0.05500062360578231,0.0
8,7.90625,4.1796875,0.00390625,4,6.94140625,0.77734375,8.0,0.20057332153988744,0.14134189323554147,0.05500062360578231,0.0
9,8.96875,4.1796875,0.00390625,4,6.94140625,0.77734375,9.0,0.20057332153988744,0.14134189323554147,0.05500062360578231,0.0
10,9.90625,6.6796875,0.75390625,1,9.19140625,0.52734375,10.0,0.06755038479009981,0.08004807928703002,0.0545581145321771,1.0
11,2.96875,6.6796875,0.75390625,1,9.19140625,0.52734375,11.0,0.06755038479009981,0.08004807928703002,0.0545581145321771,1.0
12,9.90625,6.9140625,0.75390625,1,9.19140625,0.52734375,12.0,0.377611499862917,0.25004448631558124,0.05727727837258804,1.0
13,9.90625,6.6796875,0.73828125,1,9.19140625,0.52734375,13.0,0.13940723879673422,0.0795154815901058,0.05606625809948761,1.0
14,9.90625,6.6796875,0.75390625,4,9.19140625,0.52734375,14.0,0.11131867819837218,0.06530186782409064,0.0,1.0
15,9.90625,6.6796875,0.75390625,1,2.93359375,0.52734375,15.0,0.15842263225661118,0.14892335810054527,0.05779143249406229,1.0
16,9.90625,6.6796875,0.75390625,1,9.19140625,0.05859375,16.0,0.2413248104234484,0.21005621624525275,0.052211826930356434,1.0
17,2.96875,6.9140625,0.73828125,4,2.93359375,0.05859375,17.0,0.0,0.0,0.05643263315563422,1.0
18,7.90625,4.1796875,0.00390625,4,6.94140625,0.77734375,18.0,0.0,0.0,0.05643263315563422,1.0
19,8.96875,4.1796875,0.00390625,4,6.94140625,0.77734375,19.0,0.0,0.0,0.05643263315563422,1.0
20,9.90625,6.6796875,0.75390625,1,9.19140625,0.52734375,20.0,0.2165859404998591,0.13728981124132858,0.05434370532033289,2.0
21,2.96875,6.6796875,0.75390625,1,9.19140625,0.52734375,21.0,0.06755038479009981,0.08004807928703002,0.0545581145321771,2.0
22,9.90625,6.9140625,0.75390625,1,9.19140625,0.52734375,22.0,0.22880905264224,0.17518879939115883,0.05635842072292152,2.0
23,9.90625,6.6796875,0.73828125,1,9.19140625,0.52734375,23.0,0.34339357659980885,0.2946100806115277,0.0597079237549271,2.0
24,9.90625,6.6796875,0.75390625,4,9.19140625,0.52734375,24.0,0.10553359106793607,0.0662975349329149,0.0,2.0
25,9.90625,6.6796875,0.75390625,1,2.93359375,0.52734375,25.0,0.2515164741576701,0.2711320020593931,0.057320087361228136,2.0
26,9.90625,6.6796875,0.75390625,1,9.19140625,0.05859375,26.0,0.21443282780739278,0.2116869397449139,0.05606135537190085,2.0
