,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
36,0.265625,0.3515625,0.48828125,3.046875,0.17578125,0,0.17675453330636723,0.1055275162291354,0.33917024490987646
26,3.171875,0.3515625,0.33203125,3.046875,0.17578125,0,2.1470204637463746,1.6855643257461834,0.9007589430329968
62,1.171875,3.3515625,0.83203125,1.046875,0.67578125,0,2.132322526632116,1.7217005362271085,0.24717850304092923
46,0.265625,0.3515625,0.33203125,3.046875,0.91796875,0,0.344772607068537,0.26224719942578834,0.27195024555894853
65,2.265625,3.3515625,0.98828125,1.046875,0.67578125,0,2.1268479414121617,1.7304934033455883,0.2822869590174309
66,2.265625,4.1953125,0.83203125,1.046875,0.67578125,0,2.1014475353334507,1.6960618646660854,0.1728440291959037
19,0.265625,0.3515625,0.33203125,3.046875,0.17578125,0,0.2525402368159258,0.23630911029836285,0.41247669639046736
87,1.171875,4.1953125,0.98828125,2.515625,0.41796875,0,0.20637446950826427,0.16913324085171588,0.0
85,3.265625,1.8515625,0.08203125,2.046875,0.92578125,0,2.1467433348940075,1.7569048448234397,0.4592605910562392
93,0.171875,1.8515625,0.08203125,2.046875,0.92578125,0,1.7134359659477942,1.4064797431705576,0.3963500257110082
56,2.265625,3.3515625,0.83203125,1.046875,0.67578125,0,2.084940786387897,1.704659273474858,0.26710836455852655
76,2.265625,3.3515625,0.83203125,2.515625,0.67578125,0,0.33092298434381384,0.28172859990426596,0.0
29,0.265625,1.1953125,0.33203125,3.046875,0.17578125,0,0.2211508050181078,0.19046170791821257,0.16940843006202025
53,3.171875,1.1953125,0.48828125,0.515625,0.91796875,0,2.1846822274445667,1.7784893837867766,0.685407878002335
9,0.390625,3.1640625,0.73828125,0.921875,0.44921875,0,1.974837665104961,1.5966720342266847,0.17037424490450687
8,0.046875,2.5078125,0.95703125,0.140625,0.44921875,0,2.1663059712814885,1.7617524689878612,0.37364619490208134
78,2.265625,3.3515625,0.83203125,1.046875,0.41796875,0,2.0510972479188774,1.6955493904205405,0.3048446090086081
42,0.265625,0.3515625,0.33203125,0.515625,0.17578125,0,2.1667467439087518,1.7694060204221365,0.9171232218377551
3,0.390625,3.1640625,0.73828125,0.140625,0.83203125,0,2.188948038091419,1.7633370920085527,0.19387585194414322
1,0.390625,3.1640625,0.95703125,0.921875,0.83203125,0,2.047789438808526,1.629050329142938,0.19244892002215885
33,0.265625,0.3515625,0.48828125,3.046875,0.17578125,1,0.3848291857180733,0.29146062610895646,0.3570127657588275
59,1.171875,3.3515625,0.83203125,1.046875,0.67578125,1,2.0663509421701645,1.6580827980180144,0.24418807756950484
89,1.171875,4.1953125,0.98828125,2.515625,0.41796875,1,0.03412913044056108,0.04572947953274717,0.0
44,0.265625,0.3515625,0.33203125,0.515625,0.17578125,1,2.1625279399626502,1.7514362338365692,0.8864405456059964
31,0.265625,1.1953125,0.33203125,3.046875,0.17578125,1,0.19213876137474545,0.1886334840681352,0.14470425899079892
92,0.171875,1.8515625,0.08203125,2.046875,0.92578125,1,1.6484978961117165,1.2864906371612133,0.35085752198789966
45,0.265625,0.3515625,0.33203125,3.046875,0.91796875,1,0.08703969971123973,0.08197277132524446,0.24353422211813935
55,2.265625,3.3515625,0.83203125,1.046875,0.67578125,1,2.1360259329915303,1.7197536528248027,0.2688290264161436
86,3.265625,1.8515625,0.08203125,2.046875,0.92578125,1,1.8668801030481132,1.5598656481132287,0.2860291542221863
50,3.171875,1.1953125,0.48828125,0.515625,0.91796875,1,2.111854207188917,1.7370021016732973,0.7148298250211081
24,3.171875,0.3515625,0.33203125,3.046875,0.17578125,1,1.5808514358115662,1.372539792674913,0.9319969698735519
2,0.390625,3.1640625,0.73828125,0.140625,0.83203125,1,2.162792548687334,1.7383057081695759,0.19012728848508428
80,2.265625,3.3515625,0.83203125,2.515625,0.67578125,1,0.103950459727204,0.10309380642238675,1.1102230246251565e-16
79,2.265625,3.3515625,0.83203125,1.046875,0.41796875,1,1.9774823968397808,1.6126419410139257,0.2075158911381001
6,0.390625,3.1640625,0.95703125,0.921875,0.83203125,1,2.1746303349811886,1.754033434701661,0.21983513186756573
71,2.265625,3.3515625,0.98828125,1.046875,0.67578125,1,2.0508696261033355,1.6536417543104205,0.29630419548585707
11,0.390625,3.1640625,0.73828125,0.921875,0.44921875,1,2.1090020101943776,1.7046441467967868,0.24959519133663535
67,2.265625,4.1953125,0.83203125,1.046875,0.67578125,1,2.124952709116065,1.7300629026434002,0.22171980442061437
22,0.265625,0.3515625,0.33203125,3.046875,0.17578125,1,0.22950011441662205,0.1846082756415863,0.368705786236063
16,0.046875,2.5078125,0.95703125,0.140625,0.44921875,1,2.161402443468938,1.7497660139492541,0.4135142772159429
73,2.265625,3.3515625,0.98828125,1.046875,0.67578125,2,2.138979595311565,1.7076382404510784,0.3108922403919865
61,2.265625,3.3515625,0.83203125,1.046875,0.67578125,2,1.9285734950324103,1.56795422938759,0.2754931858714751
77,2.265625,3.3515625,0.83203125,2.515625,0.67578125,2,0.17405581223699754,0.1310910683937679,0.0
88,3.265625,1.8515625,0.08203125,2.046875,0.92578125,2,2.1358590593814473,1.7182065290547992,0.4549529911340887
51,3.171875,1.1953125,0.48828125,0.515625,0.91796875,2,2.1549041964986193,1.7551041275966401,0.6915784866593722
58,1.171875,3.3515625,0.83203125,1.046875,0.67578125,2,2.1275661530576206,1.7156702953881167,0.36689646490434125
68,2.265625,4.1953125,0.83203125,1.046875,0.67578125,2,1.9531203699895254,1.5919521613249379,0.20264218381757781
0,0.390625,3.1640625,0.95703125,0.921875,0.83203125,2,2.1953101093716736,1.7658012361425977,0.25131000008024584
82,2.265625,3.3515625,0.83203125,1.046875,0.41796875,2,1.8367779945874754,1.4837612042991817,0.21251530347344325
21,0.265625,0.3515625,0.33203125,3.046875,0.17578125,2,0.32944133174685414,0.2672694879843965,0.41548171027728337
14,0.390625,3.1640625,0.73828125,0.921875,0.44921875,2,2.1218573813451416,1.7344955622294147,0.2263514428700272
25,3.171875,0.3515625,0.33203125,3.046875,0.17578125,2,1.8760783076066085,1.4858706601408307,0.9073568723546444
34,0.265625,1.1953125,0.33203125,3.046875,0.17578125,2,0.205793957484032,0.1792296304749422,0.1310420890405977
37,0.265625,0.3515625,0.48828125,3.046875,0.17578125,2,0.3386919463240287,0.3206824837723973,0.40428868702402837
96,0.171875,1.8515625,0.08203125,2.046875,0.92578125,2,1.5946387537897828,1.2423428142806654,0.3970128785868294
90,1.171875,4.1953125,0.98828125,2.515625,0.41796875,2,0.28490590589835924,0.24566956062166379,0.0
40,0.265625,0.3515625,0.33203125,0.515625,0.17578125,2,2.13521146009571,1.7240656065837976,0.8833739850980648
47,0.265625,0.3515625,0.33203125,3.046875,0.91796875,2,0.19441951074432182,0.18402785811875064,0.3073159203109134
5,0.390625,3.1640625,0.73828125,0.140625,0.83203125,2,2.1545309473946355,1.731828059853879,0.19568114652009905
17,0.046875,2.5078125,0.95703125,0.140625,0.44921875,2,2.116640798831531,1.7264368465235052,0.42726646480921293
10,0.390625,3.1640625,0.73828125,0.140625,0.83203125,3,2.12054645060615,1.7234360887571754,0.19942944559409537
69,2.265625,4.1953125,0.83203125,1.046875,0.67578125,3,2.0943250612803848,1.6895874700538793,0.1599701777418904
75,2.265625,3.3515625,0.83203125,2.515625,0.67578125,3,0.8809522261200406,0.7394893640348111,0.14082946007135366
95,3.265625,1.8515625,0.08203125,2.046875,0.92578125,3,1.8478093022089639,1.5180977228848935,0.3781386828164732
72,2.265625,3.3515625,0.98828125,1.046875,0.67578125,3,2.111449386122439,1.7042863117447704,0.2982237195760745
4,0.390625,3.1640625,0.95703125,0.921875,0.83203125,3,2.157931883693047,1.7464726088327467,0.21316696197582624
15,0.390625,3.1640625,0.73828125,0.921875,0.44921875,3,1.9654444566489022,1.6175226909497926,0.2073497823527558
98,0.171875,1.8515625,0.08203125,2.046875,0.92578125,3,1.5292256908187434,1.1891596229489798,0.27181351961324085
48,0.265625,0.3515625,0.33203125,3.046875,0.91796875,3,0.23361892647224652,0.16928169203531537,0.27552857425640276
23,0.265625,0.3515625,0.33203125,3.046875,0.17578125,3,0.16337865926021475,0.1603006745040633,0.3932174743945773
