,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
70,3.484375,2.7890625,0.03515625,2.578125,0.80859375,0,1.364409398857519,1.02304824283766,0.09950403591505108
29,0.109375,3.5859375,0.08984375,1.078125,0.26953125,0,2.1643168522729868,1.748473240389968,0.15696676292569994
39,2.140625,1.7109375,0.10546875,3.234375,0.26953125,0,0.28929219453610616,0.3000392084602337,0.03843755256694741
45,3.484375,1.1953125,0.59765625,3.609375,0.25390625,0,0.7650429947136052,0.5999377889867618,0.37685179899887883
25,0.109375,3.5859375,0.08984375,3.234375,0.23046875,0,0.4038011480248629,0.3535355578175137,0.08814408324515122
50,0.078125,2.7890625,0.59765625,3.609375,0.25390625,0,0.09878345405593347,0.06174305564182863,0.10424807282549345
54,0.078125,1.1953125,0.03515625,3.609375,0.25390625,0,0.40658449793291895,0.32224589303582263,0.2860246679189197
60,0.078125,1.1953125,0.59765625,2.578125,0.25390625,0,0.17093756773173419,0.12602304607119066,0.20377165217939028
20,0.109375,3.5859375,0.10546875,1.078125,0.23046875,0,2.078974528890198,1.689778441277928,0.14713330746467776
66,0.078125,1.1953125,0.59765625,3.609375,0.80859375,0,0.11869291090180466,0.12414331152747886,0.1788356093467856
15,2.140625,3.5859375,0.08984375,1.078125,0.23046875,0,2.1419123165531917,1.7333957836557412,0.19874679228291445
77,2.078125,4.1953125,0.09765625,1.609375,0.75390625,0,2.118477586359659,1.7127450729025988,0.15246710332221314
35,0.078125,1.1953125,0.59765625,3.609375,0.25390625,0,0.24525957527915038,0.1989953916426982,0.1959311063574452
10,0.109375,1.7109375,0.08984375,1.078125,0.23046875,0,1.5161980782657871,1.218719493390344,0.4186593337118665
1,0.109375,3.5859375,0.08984375,1.078125,0.23046875,0,2.1003013894237936,1.69492570464972,0.14542075549478173
95,2.078125,4.1953125,0.09765625,0.578125,0.75390625,0,2.131642501313422,1.7363653273443558,0.18982909819453753
85,2.078125,5.7890625,0.09765625,1.609375,0.75390625,0,2.16015420380723,1.743151836044436,0.043576481762544916
4,0.140625,4.7109375,0.60546875,1.234375,0.76953125,0,1.3990195331698534,1.086391211882423,0.05844051661137929
79,1.484375,4.1953125,0.09765625,1.609375,0.75390625,0,2.0262170446292034,1.6825162729121546,0.2265801422497893
88,2.078125,4.1953125,0.53515625,1.609375,0.75390625,0,1.9339952814094206,1.5492504763157506,0.12926013857252658
74,2.078125,4.1953125,0.09765625,1.609375,0.75390625,1,2.1388003948909193,1.7546634506129193,0.23557068113113078
38,2.140625,1.7109375,0.10546875,3.234375,0.26953125,1,0.6524135182437754,0.5585993300098893,0.09436119730130321
96,2.078125,4.1953125,0.09765625,0.578125,0.75390625,1,2.1014885138254358,1.689671587125675,0.17923120080245855
47,3.484375,1.1953125,0.59765625,3.609375,0.25390625,1,0.7962739325151,0.7085825676433258,0.2713605025055087
56,0.078125,1.1953125,0.03515625,3.609375,0.25390625,1,0.2445013451434596,0.1930190424501801,0.23804735744047437
86,2.078125,4.1953125,0.53515625,1.609375,0.75390625,1,1.8054313915113689,1.4381970564940116,0.3101190577832609
61,0.078125,1.1953125,0.59765625,2.578125,0.25390625,1,0.33894160001316104,0.2819420477994667,0.24216313941981718
65,0.078125,1.1953125,0.59765625,3.609375,0.80859375,1,0.25832772420318967,0.24437838846232557,0.19973799713994514
82,1.484375,4.1953125,0.09765625,1.609375,0.75390625,1,2.061375366452776,1.6820412556423938,0.10685798521029286
36,0.078125,1.1953125,0.59765625,3.609375,0.25390625,1,0.14171095420919785,0.14580661849134358,0.2075221880477098
71,3.484375,2.7890625,0.03515625,2.578125,0.80859375,1,1.0834972593910701,0.8992706729433291,0.10879235241033003
87,2.078125,5.7890625,0.09765625,1.609375,0.75390625,1,2.141779828226594,1.7441504630346987,0.06325794966022663
0,0.109375,3.5859375,0.08984375,1.078125,0.23046875,1,2.115739218804581,1.7146573281074935,0.15217345465408733
49,0.078125,2.7890625,0.59765625,3.609375,0.25390625,1,0.18480175772413412,0.19042180542184795,0.1082943155285972
32,0.109375,3.5859375,0.08984375,1.078125,0.26953125,1,2.1050149835255447,1.7181216981182414,0.1434493302078277
18,2.140625,3.5859375,0.08984375,1.078125,0.23046875,1,2.0646862658911904,1.6585061597564554,0.22305850824085924
21,0.109375,3.5859375,0.10546875,1.078125,0.23046875,1,1.6188165360975608,1.310370087790463,0.12128380162361428
3,0.140625,4.7109375,0.60546875,1.234375,0.76953125,1,1.3786324547721975,1.0774115597176583,0.06438968272699469
26,0.109375,3.5859375,0.08984375,3.234375,0.23046875,1,0.3623283973983372,0.3252125129853826,0.08396414452264092
12,0.109375,1.7109375,0.08984375,1.078125,0.23046875,1,1.605008442735626,1.2920358636013916,0.45134336292415894
76,2.078125,4.1953125,0.09765625,1.609375,0.75390625,2,2.1949702111775125,1.769680316720012,0.2135697388744351
6,0.140625,4.7109375,0.60546875,1.234375,0.76953125,2,1.3196078881506206,1.0713151646655221,0.07130405758019305
89,2.078125,5.7890625,0.09765625,1.609375,0.75390625,2,2.057963915891007,1.6280114117398168,0.08253019763125366
62,0.078125,1.1953125,0.59765625,2.578125,0.25390625,2,0.20221709700424884,0.2122653097926331,0.21145934524235344
19,2.140625,3.5859375,0.08984375,1.078125,0.23046875,2,2.1763812006199634,1.761325794100589,0.23994799968506753
72,3.484375,2.7890625,0.03515625,2.578125,0.80859375,2,1.4503203891770213,1.2699641661167491,0.14073429174239466
57,0.078125,1.1953125,0.03515625,3.609375,0.25390625,2,0.2780554519769501,0.26225866779988377,0.27548865873442224
22,0.109375,3.5859375,0.10546875,1.078125,0.23046875,2,2.0951255468151095,1.6733215366709058,0.13980227323329975
91,2.078125,4.1953125,0.53515625,1.609375,0.75390625,2,1.568430626381285,1.2319765584897637,0.2592254318048359
51,0.078125,2.7890625,0.59765625,3.609375,0.25390625,2,0.16924014913319804,0.15724625369774625,0.10619722033653484
67,0.078125,1.1953125,0.59765625,3.609375,0.80859375,2,0.10761694593272586,0.09758624950739705,0.20204238398685082
97,2.078125,4.1953125,0.09765625,0.578125,0.75390625,2,2.0568143141478323,1.6880921247615608,0.1788543908400186
37,0.078125,1.1953125,0.59765625,3.609375,0.25390625,2,0.03602910233831533,0.03763198950966138,0.19734149439163018
30,0.109375,3.5859375,0.08984375,1.078125,0.26953125,2,2.0863995963671593,1.7143916945601867,0.15139032104639125
46,3.484375,1.1953125,0.59765625,3.609375,0.25390625,2,0.5882625343585021,0.5640295306237687,0.30462004152936706
27,0.109375,3.5859375,0.08984375,3.234375,0.23046875,2,0.5343597786000183,0.3859492019768826,0.08395281071875396
11,0.109375,1.7109375,0.08984375,1.078125,0.23046875,2,1.545828846417135,1.2362363490578725,0.47345122945011336
81,1.484375,4.1953125,0.09765625,1.609375,0.75390625,2,2.1930803256657585,1.7819305149513092,0.16788097889720555
2,0.109375,3.5859375,0.08984375,1.078125,0.23046875,2,2.1581838949671615,1.7664006126539986,0.15378209733700643
41,2.140625,1.7109375,0.10546875,3.234375,0.26953125,2,0.9460224278902051,0.5948251193955841,0.07630703484254814
78,2.078125,4.1953125,0.09765625,1.609375,0.75390625,3,2.1991046563124783,1.7795874021299467,0.18792045229675536
14,2.140625,3.5859375,0.08984375,1.078125,0.23046875,3,2.164911053425672,1.7529086367625926,0.24416458461274593
8,0.109375,3.5859375,0.08984375,1.078125,0.23046875,3,2.100145480034978,1.679204696766152,0.14732946995027435
7,0.140625,4.7109375,0.60546875,1.234375,0.76953125,3,1.3241560743237852,1.0433929797545967,0.07203605131903164
13,0.109375,1.7109375,0.08984375,1.078125,0.23046875,3,1.5283134182245492,1.1794737582459045,0.3980752946589397
75,3.484375,2.7890625,0.03515625,2.578125,0.80859375,3,1.1742827469001433,0.8722674971362219,0.09207234379896972
68,0.078125,1.1953125,0.59765625,3.609375,0.80859375,3,0.10181491623354458,0.099102481941107,0.19021865332838508
99,2.078125,4.1953125,0.09765625,0.578125,0.75390625,3,2.1046204177250085,1.7251660961714523,0.17931055020526296
58,0.078125,1.1953125,0.03515625,3.609375,0.25390625,3,0.3092640425364023,0.23145480825645712,0.2773032491951411
64,0.078125,1.1953125,0.59765625,2.578125,0.25390625,3,0.1981432774873354,0.1765686005469714,0.21848199284096717
90,2.078125,5.7890625,0.09765625,1.609375,0.75390625,3,2.114840606104122,1.6585755164735354,0.041203888971882235
23,0.109375,3.5859375,0.10546875,1.078125,0.23046875,3,1.860321773709104,1.505123422017342,0.12716825240273746
53,0.078125,2.7890625,0.59765625,3.609375,0.25390625,3,0.2527925668303663,0.24111811353571633,0.11460692190732076
93,2.078125,4.1953125,0.53515625,1.609375,0.75390625,3,2.1409208229776038,1.7419819245971895,0.10475809027782845
48,3.484375,1.1953125,0.59765625,3.609375,0.25390625,3,1.6943100697176376,1.3198310502652035,0.49483601157279555
43,2.140625,1.7109375,0.10546875,3.234375,0.26953125,3,0.3872089365606194,0.34859868252000076,0.056912063284410126
42,0.078125,1.1953125,0.59765625,3.609375,0.25390625,3,0.22998342865661184,0.16512434009017837,0.2009871213469128
28,0.109375,3.5859375,0.08984375,3.234375,0.23046875,3,0.16387988123172992,0.1813848528777272,0.08273135414461032
33,0.109375,3.5859375,0.08984375,1.078125,0.26953125,3,2.1748681623376,1.7430767438985542,0.1659892747086022
83,1.484375,4.1953125,0.09765625,1.609375,0.75390625,3,2.2019405928178957,1.7660194009849146,0.16461951048720047
5,0.140625,4.7109375,0.60546875,1.234375,0.76953125,4,1.282864663218344,0.9922052840982165,0.055082029822243105
84,1.484375,4.1953125,0.09765625,1.609375,0.75390625,4,2.1559796741769697,1.7282474207159253,0.1488976934865308
92,2.078125,5.7890625,0.09765625,1.609375,0.75390625,4,2.155957609003983,1.718832847147078,0.03733291034870545
94,2.078125,4.1953125,0.53515625,1.609375,0.75390625,4,2.1425053619774133,1.7168267953173977,0.23256183013572407
34,0.109375,3.5859375,0.08984375,1.078125,0.26953125,4,2.04396001076656,1.655571229846463,0.14246849757733518
80,2.078125,4.1953125,0.09765625,1.609375,0.75390625,4,2.0576960636109782,1.6757481235009453,0.15924636020435706
73,3.484375,2.7890625,0.03515625,2.578125,0.80859375,4,1.2555705308903673,1.0513429358676285,0.12176108664569338
16,0.109375,1.7109375,0.08984375,1.078125,0.23046875,4,1.4446805391433661,1.1604096728916942,0.458467399691358
69,0.078125,1.1953125,0.59765625,3.609375,0.80859375,4,0.155812206725194,0.14418991036381026,0.1844288140285036
63,0.078125,1.1953125,0.59765625,2.578125,0.25390625,4,0.2596790067180144,0.2462927650617055,0.2233833834893077
59,0.078125,1.1953125,0.03515625,3.609375,0.25390625,4,0.2660965179647104,0.27323034923788325,0.2771960487451435
55,0.078125,2.7890625,0.59765625,3.609375,0.25390625,4,0.2105821216542772,0.10753547855840084,0.1128292130809441
52,3.484375,1.1953125,0.59765625,3.609375,0.25390625,4,0.491851796974558,0.4183896348922936,0.3220882566672525
24,0.109375,3.5859375,0.10546875,1.078125,0.23046875,4,2.0600339547350304,1.6892358957950249,0.13577379865097136
98,2.078125,4.1953125,0.09765625,0.578125,0.75390625,4,2.1840156529440535,1.7764743209708675,0.21630474852822987
44,0.078125,1.1953125,0.59765625,3.609375,0.25390625,4,0.23567183488777,0.21237217774715839,0.18402143153785042
40,2.140625,1.7109375,0.10546875,3.234375,0.26953125,4,1.0226539741136795,0.8136067362358211,0.10419243959935554
31,0.109375,3.5859375,0.08984375,3.234375,0.23046875,4,0.2085380585325473,0.20755621901423674,0.0785799149526061
9,0.109375,3.5859375,0.08984375,1.078125,0.23046875,4,2.085627578060452,1.6839455198350988,0.14250991506472394
17,2.140625,3.5859375,0.08984375,1.078125,0.23046875,4,2.094913756372556,1.6878734916934595,0.2442198955355707
