,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index
0,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,0.0,0.07933673231511221,0.06524388056640824,0.012677076405826493,0.0
1,4.09375,3.7109375,0.64453125,3,7.64453125,0.60546875,1.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
2,3.03125,5.5078125,0.64453125,3,7.64453125,0.60546875,2.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
3,3.03125,3.7109375,0.81640625,3,7.64453125,0.60546875,3.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
4,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,4.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
5,3.03125,3.7109375,0.64453125,3,5.60546875,0.60546875,5.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
6,3.03125,3.7109375,0.64453125,3,7.64453125,0.04296875,6.0,0.1385671958056112,0.14822625853850172,0.01044619104662381,0.0
7,4.09375,5.5078125,0.81640625,3,5.60546875,0.04296875,7.0,0.1311670865577001,0.06775373231768529,0.0012475717689047622,0.0
8,7.03125,8.7109375,0.14453125,1,3.14453125,0.10546875,8.0,0.3611673140992122,0.279126357451116,0.0561456312658394,0.0
9,8.09375,8.7109375,0.14453125,1,3.14453125,0.10546875,9.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,0.0
10,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,10.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
11,4.09375,3.7109375,0.64453125,3,7.64453125,0.60546875,11.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
12,3.03125,5.5078125,0.64453125,3,7.64453125,0.60546875,12.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
13,3.03125,3.7109375,0.81640625,3,7.64453125,0.60546875,13.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
14,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,14.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
15,3.03125,3.7109375,0.64453125,3,5.60546875,0.60546875,15.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
16,3.03125,3.7109375,0.64453125,3,7.64453125,0.04296875,16.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
17,4.09375,5.5078125,0.81640625,3,5.60546875,0.04296875,17.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
18,7.03125,8.7109375,0.14453125,1,3.14453125,0.10546875,18.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,1.0
19,8.09375,8.7109375,0.14453125,1,3.14453125,0.10546875,19.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,1.0
20,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,20.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,2.0
21,4.09375,3.7109375,0.64453125,3,7.64453125,0.60546875,21.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,2.0
22,3.03125,5.5078125,0.64453125,3,7.64453125,0.60546875,22.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,2.0
23,3.03125,3.7109375,0.81640625,3,7.64453125,0.60546875,23.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,2.0
24,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,24.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,2.0
25,3.03125,3.7109375,0.64453125,3,5.60546875,0.60546875,25.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,2.0
26,3.03125,3.7109375,0.64453125,3,7.64453125,0.04296875,26.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,2.0
27,4.09375,5.5078125,0.81640625,3,5.60546875,0.04296875,27.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,2.0
28,7.03125,8.7109375,0.14453125,1,3.14453125,0.10546875,28.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,2.0
29,8.09375,8.7109375,0.14453125,1,3.14453125,0.10546875,29.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,2.0
30,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,30.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,3.0
31,4.09375,3.7109375,0.64453125,3,7.64453125,0.60546875,31.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,3.0
32,3.03125,5.5078125,0.64453125,3,7.64453125,0.60546875,32.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,3.0
33,3.03125,3.7109375,0.81640625,3,7.64453125,0.60546875,33.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,3.0
34,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,34.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,3.0
35,3.03125,3.7109375,0.64453125,3,5.60546875,0.60546875,35.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,3.0
36,3.03125,3.7109375,0.64453125,3,7.64453125,0.04296875,36.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,3.0
37,4.09375,5.5078125,0.81640625,3,5.60546875,0.04296875,37.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,3.0
38,7.03125,8.7109375,0.14453125,1,3.14453125,0.10546875,38.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,3.0
39,8.09375,8.7109375,0.14453125,1,3.14453125,0.10546875,39.0,0.6259993073808969,0.48048105950390735,0.05460553550623134,3.0
40,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,40.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,4.0
41,4.09375,3.7109375,0.64453125,3,7.64453125,0.60546875,41.0,0.6259993073808969,0.48048105950390735,0.05460553550623134,4.0
42,3.03125,5.5078125,0.64453125,3,7.64453125,0.60546875,42.0,0.6831380240121545,0.5202619404300382,0.05614913991197664,4.0
43,3.03125,3.7109375,0.81640625,3,7.64453125,0.60546875,43.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,4.0
44,3.03125,3.7109375,0.64453125,3,7.64453125,0.60546875,44.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,4.0
45,3.03125,3.7109375,0.64453125,3,5.60546875,0.60546875,45.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,4.0
46,3.03125,3.7109375,0.64453125,3,7.64453125,0.04296875,46.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,4.0
47,4.09375,5.5078125,0.81640625,3,5.60546875,0.04296875,47.0,0.3744061686011096,0.34820625393472093,0.05643744525097822,4.0
48,7.03125,8.7109375,0.14453125,1,3.14453125,0.10546875,48.0,0.38276073249437265,0.3008096340844776,0.05366974394761419,4.0
49,8.09375,8.7109375,0.14453125,1,3.14453125,0.10546875,49.0,0.369091628885289,0.25910521844072393,0.05643971576509543,4.0
