,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
91,2.671875,3.4453125,0.86328125,2.015625,0.04296875,0,1.554307302044814,1.2397036869041589,0.4664659464809191
80,0.765625,4.1015625,0.86328125,3.546875,0.05078125,0,0.24418132698384928,0.21089913906974395,0.0
90,0.765625,4.1015625,0.20703125,3.546875,0.04296875,0,0.34205708422992404,0.31466786282415316,0.0
22,3.765625,5.6015625,0.45703125,2.546875,0.79296875,0,0.2504269863663262,0.19367235127373003,0.0
66,0.765625,4.1015625,0.20703125,3.546875,0.05078125,0,0.16418027171810337,0.15671900195201147,0.0
73,0.765625,3.4453125,0.20703125,3.546875,0.05078125,0,0.13641455060337482,0.1404543617613628,0.0
12,3.765625,5.6015625,0.11328125,2.546875,0.80078125,0,0.7722292237337076,0.5882938511431329,1.1102230246251565e-16
11,3.765625,5.6015625,0.45703125,1.015625,0.80078125,0,2.1398722361159046,1.7299435496229232,0.10973831638911855
44,2.765625,1.1015625,0.36328125,1.546875,0.55078125,0,2.0971262878549357,1.7053995274256506,0.4254987874779541
50,2.765625,1.1015625,0.70703125,1.546875,0.54296875,0,2.028763597208456,1.6441946014509217,0.4979746310449827
35,0.671875,1.1015625,0.70703125,1.546875,0.55078125,0,1.1581362033451321,0.9615632367726559,0.09077805176629627
7,3.765625,4.9453125,0.45703125,2.546875,0.80078125,0,0.3388028666558024,0.25243283592160437,0.0
55,2.765625,1.1015625,0.70703125,0.015625,0.55078125,0,0.21106568920775257,0.1591190816543251,0.024335149238350427
71,2.671875,4.1015625,0.20703125,3.546875,0.05078125,0,0.38554845588304054,0.2935613396835815,0.0
4,1.671875,5.6015625,0.45703125,2.546875,0.80078125,0,0.3056981283919771,0.2848167791317172,0.0
58,0.671875,0.4453125,0.36328125,0.015625,0.54296875,0,0.2561290523631779,0.1742258592444694,0.1724137370295866
81,0.765625,4.1015625,0.20703125,2.015625,0.05078125,0,1.6765321480444597,1.3425344307678275,0.13374745979289426
27,1.671875,4.9453125,0.11328125,1.015625,0.79296875,0,2.1473245738727016,1.752698678151142,0.09542940649056472
24,2.765625,1.1015625,0.70703125,1.546875,0.55078125,0,2.1928525632989335,1.784379798099013,0.6505161627045875
40,2.765625,0.4453125,0.70703125,1.546875,0.55078125,0,0.2256182296516815,0.16413583915369373,0.0701917215544731
36,0.671875,1.1015625,0.70703125,1.546875,0.55078125,1,0.7824926256316281,0.7201998551385724,0.1206989073561096
0,3.765625,4.9453125,0.45703125,2.546875,0.80078125,1,0.2820887799815806,0.2516305545910577,0.0
46,2.765625,1.1015625,0.36328125,1.546875,0.55078125,1,2.16462941718097,1.7529844556193646,0.5578145286463922
74,0.765625,3.4453125,0.20703125,3.546875,0.05078125,1,0.28097278748257354,0.2664062118506495,0.0021258069802910784
51,2.765625,1.1015625,0.70703125,1.546875,0.54296875,1,2.0000128222896008,1.651974958291152,0.45465102339267566
53,2.765625,1.1015625,0.70703125,0.015625,0.55078125,1,0.19416617269738778,0.14831672411506971,0.01836046542869447
70,2.671875,4.1015625,0.20703125,3.546875,0.05078125,1,0.25013753128210897,0.19535763283306648,0.0
62,0.671875,0.4453125,0.36328125,0.015625,0.54296875,1,0.15278501791894836,0.11078330024679521,0.15841321799939936
45,2.765625,0.4453125,0.70703125,1.546875,0.55078125,1,0.317026591509114,0.2396444085645046,0.05505835225107839
84,0.765625,4.1015625,0.86328125,3.546875,0.05078125,1,0.13275414929808,0.0977806011461629,0.0
83,0.765625,4.1015625,0.20703125,2.015625,0.05078125,1,2.08755192284852,1.6540757050639237,0.12431566342470254
65,0.765625,4.1015625,0.20703125,3.546875,0.05078125,1,0.2736721994875572,0.2533403279826678,0.0
16,3.765625,5.6015625,0.45703125,1.015625,0.80078125,1,2.1323761277484556,1.7332626690298634,0.08559337227338487
93,2.671875,3.4453125,0.86328125,2.015625,0.04296875,1,1.8418638818647464,1.4369442465017106,0.36734535040914046
95,0.765625,4.1015625,0.20703125,3.546875,0.04296875,1,0.3277429257947118,0.25701033980086424,0.0
23,3.765625,5.6015625,0.45703125,2.546875,0.79296875,1,0.4489765689411302,0.3593542289339336,0.0
3,1.671875,5.6015625,0.45703125,2.546875,0.80078125,1,0.44075603986280726,0.4128356626941108,0.0
26,1.671875,4.9453125,0.11328125,1.015625,0.79296875,1,2.1715129238087085,1.7668469483774505,0.13472025358434755
25,2.765625,1.1015625,0.70703125,1.546875,0.55078125,1,2.035616467375088,1.6218295443730395,0.48864776547033084
13,3.765625,5.6015625,0.11328125,2.546875,0.80078125,1,1.3201599649691969,1.041162645875183,0.0076613443107805546
69,0.765625,4.1015625,0.20703125,3.546875,0.05078125,2,0.2037185602528115,0.2064842086634787,0.0
2,1.671875,5.6015625,0.45703125,2.546875,0.80078125,2,0.26797813124732833,0.24056470969664412,0.0
92,0.765625,4.1015625,0.20703125,3.546875,0.04296875,2,0.24866663104928158,0.26214004788249096,0.0
97,2.671875,3.4453125,0.86328125,2.015625,0.04296875,2,1.804711276384199,1.4842029891670272,0.4545973245496592
56,2.765625,1.1015625,0.70703125,0.015625,0.55078125,2,0.11698056950273689,0.08020102020575048,0.016703463748824476
72,2.671875,4.1015625,0.20703125,3.546875,0.05078125,2,0.3749661879676259,0.34952263742105744,0.0019244709964995332
52,2.765625,1.1015625,0.70703125,1.546875,0.54296875,2,2.1072173315441,1.6943546656043273,0.49560498955096266
1,3.765625,4.9453125,0.45703125,2.546875,0.80078125,2,0.49245828229110344,0.38693418529943935,0.0
63,0.671875,0.4453125,0.36328125,0.015625,0.54296875,2,0.1956222488284272,0.19513091534828622,0.15041969894612917
29,1.671875,4.9453125,0.11328125,1.015625,0.79296875,2,2.1929266781927024,1.7735984406173444,0.151074611104282
47,2.765625,1.1015625,0.36328125,1.546875,0.55078125,2,2.1900139388122337,1.7723028768731892,0.6564423805456079
18,3.765625,5.6015625,0.45703125,1.015625,0.80078125,2,2.1151713077080787,1.7052777083024082,0.030552858283718093
75,0.765625,3.4453125,0.20703125,3.546875,0.05078125,2,0.4330237846594235,0.3488689665481814,0.006891788552913669
41,2.765625,0.4453125,0.70703125,1.546875,0.55078125,2,0.3046913562235175,0.23081350966335692,0.08792092654954275
21,3.765625,5.6015625,0.45703125,2.546875,0.79296875,2,0.47149067622674323,0.38806039327485453,0.0
37,0.671875,1.1015625,0.70703125,1.546875,0.55078125,2,0.9026440686001388,0.7788769336094032,0.12340247060123184
82,0.765625,4.1015625,0.20703125,2.015625,0.05078125,2,2.078841083531378,1.6956764348192748,0.20349501536309286
28,2.765625,1.1015625,0.70703125,1.546875,0.55078125,2,2.0384706216296204,1.6682229936365007,0.5108510930667244
85,0.765625,4.1015625,0.86328125,3.546875,0.05078125,2,0.24166326717001363,0.17906468331610276,0.0
15,3.765625,5.6015625,0.11328125,2.546875,0.80078125,2,0.9557932579436349,0.820551090598036,0.0
87,0.765625,4.1015625,0.20703125,2.015625,0.05078125,3,1.7821284578093088,1.4004124676012384,0.12764277837474525
94,0.765625,4.1015625,0.20703125,3.546875,0.04296875,3,0.15348987885429308,0.12363928648709971,0.0
76,0.765625,3.4453125,0.20703125,3.546875,0.05078125,3,0.300094592799178,0.2633823461768034,0.007321167259139755
86,0.765625,4.1015625,0.86328125,3.546875,0.05078125,3,0.10099026567479365,0.09603442864521465,0.0
78,2.671875,4.1015625,0.20703125,3.546875,0.05078125,3,0.26605983132125327,0.22743224615756255,0.0
67,0.765625,4.1015625,0.20703125,3.546875,0.05078125,3,0.38274016764410634,0.37207690481911027,0.0
99,2.671875,3.4453125,0.86328125,2.015625,0.04296875,3,0.48059318019577457,0.40526345239205,0.15832284493483836
42,2.765625,0.4453125,0.70703125,1.546875,0.55078125,3,0.21465100521188513,0.18852772730013748,0.06999161027674539
31,1.671875,4.9453125,0.11328125,1.015625,0.79296875,3,2.0410069356448894,1.6976772095821018,0.08740683257893969
17,3.765625,5.6015625,0.45703125,1.015625,0.80078125,3,2.1419093027970395,1.7248789636414428,0.08042739899867149
38,0.671875,1.1015625,0.70703125,1.546875,0.55078125,3,0.5922829896301687,0.5011989718804706,0.09193121210390488
14,3.765625,5.6015625,0.11328125,2.546875,0.80078125,3,0.7922780774508038,0.6909693512285751,0.00020851505904586568
30,2.765625,1.1015625,0.70703125,1.546875,0.55078125,3,2.1038791632508187,1.7275025939652668,0.5946904693837473
8,3.765625,4.9453125,0.45703125,2.546875,0.80078125,3,0.6356403167191471,0.507569131473893,0.0033042033300369755
20,3.765625,5.6015625,0.45703125,2.546875,0.79296875,3,2.1812686377183996,1.7201484353574403,0.0010532700728551059
54,2.765625,1.1015625,0.70703125,0.015625,0.55078125,3,0.24718366487540283,0.1913112274641173,0.018697858225963572
59,2.765625,1.1015625,0.70703125,1.546875,0.54296875,3,1.9488590474291494,1.5830288826554062,0.5177688686577065
60,0.671875,0.4453125,0.36328125,0.015625,0.54296875,3,0.16817323869813638,0.158856158874067,0.15193448544570118
5,1.671875,5.6015625,0.45703125,2.546875,0.80078125,3,0.24321222348185137,0.20166082473214303,0.0
48,2.765625,1.1015625,0.36328125,1.546875,0.55078125,3,2.0810993755244054,1.6670311138514526,0.546643074077868
6,1.671875,5.6015625,0.45703125,2.546875,0.80078125,4,0.5299423575203868,0.381215601286003,0.0
9,3.765625,4.9453125,0.45703125,2.546875,0.80078125,4,0.5475024916621752,0.5004524708501565,0.0
10,3.765625,5.6015625,0.11328125,2.546875,0.80078125,4,1.438336147585846,1.1122669414155981,0.0005967284196734257
96,0.765625,4.1015625,0.20703125,3.546875,0.04296875,4,0.1697947210373861,0.13989109950762357,0.0
89,0.765625,4.1015625,0.20703125,2.015625,0.05078125,4,2.063670749124976,1.6387564057143509,0.12401858135949204
88,0.765625,4.1015625,0.86328125,3.546875,0.05078125,4,0.19843396220095177,0.1385159702161816,0.0
61,2.765625,1.1015625,0.70703125,1.546875,0.54296875,4,1.476067531240911,1.2319294808839816,0.41165568837800304
32,1.671875,4.9453125,0.11328125,1.015625,0.79296875,4,2.1853544011599504,1.7723258020096626,0.1358492165202547
64,0.671875,0.4453125,0.36328125,0.015625,0.54296875,4,0.11203676486693995,0.1257090714369979,0.16111190969904368
33,2.765625,1.1015625,0.70703125,1.546875,0.55078125,4,2.096335393540958,1.6581901923987152,0.5679864813256017
34,3.765625,5.6015625,0.45703125,2.546875,0.79296875,4,0.3958278863643692,0.33620785247846624,0.0
79,2.671875,4.1015625,0.20703125,3.546875,0.05078125,4,0.13121491813147684,0.09790359458310584,0.0
39,0.671875,1.1015625,0.70703125,1.546875,0.55078125,4,0.46185399926847365,0.3512092396600289,0.07242875373193883
77,0.765625,3.4453125,0.20703125,3.546875,0.05078125,4,0.38068838688767315,0.3024880671067083,0.0029166570996755903
43,2.765625,0.4453125,0.70703125,1.546875,0.55078125,4,0.33039930786213656,0.19614195734579432,0.072900077358372
98,2.671875,3.4453125,0.86328125,2.015625,0.04296875,4,1.6998456203349883,1.3552457029870637,0.36635702037848616
57,2.765625,1.1015625,0.70703125,0.015625,0.55078125,4,0.31998972544264087,0.29701725092634323,0.01694757164596276
68,0.765625,4.1015625,0.20703125,3.546875,0.05078125,4,0.34165171644871334,0.258930273508563,0.0
19,3.765625,5.6015625,0.45703125,1.015625,0.80078125,4,2.1786602214717825,1.753798714375617,0.09714577146592496
49,2.765625,1.1015625,0.36328125,1.546875,0.55078125,4,1.9250189836550577,1.6102118673594175,0.46766392050736255
