,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
10,1.609375,3.2578125,0.12890625,2.234375,0.28515625,0,1.8079441810077612,1.4006428761402827,0.16695584974997751
23,1.453125,3.2578125,0.56640625,2.234375,0.28515625,0,1.4462868576028318,1.1565699353817216,0.1656046240570727
55,1.953125,1.0078125,0.25390625,0.953125,0.41015625,0,2.1874324439699198,1.779676595059424,0.5742585439258894
56,1.953125,3.7265625,0.25390625,2.734375,0.41015625,0,0.44949250791089534,0.36846163861521847,0.0017551575210959236
90,3.953125,4.0078125,0.69140625,0.734375,0.91015625,0,2.139464436143242,1.7199726174927823,0.27559316455621796
25,1.453125,3.2578125,0.12890625,2.453125,0.28515625,0,1.3015101406638934,0.9842287837800272,0.10483572568894237
65,1.953125,1.0078125,0.25390625,2.734375,0.27734375,0,1.0072243031322912,0.9308411096219136,0.17753456620870917
95,3.953125,4.0078125,0.75390625,2.953125,0.91015625,0,0.2001371532681526,0.15559228650736878,1.1102230246251565e-16
70,0.109375,3.7265625,0.19140625,0.953125,0.27734375,0,2.161042663409949,1.7434557735379315,0.14880148655369985
50,1.953125,1.0078125,0.19140625,2.734375,0.41015625,0,1.2951200460731729,1.0739807102576844,0.14036682319963015
46,0.109375,1.0078125,0.25390625,2.734375,0.41015625,0,0.23346432099587677,0.1975810088426912,0.25747598456409576
8,1.453125,1.4765625,0.12890625,2.234375,0.28515625,0,2.0011453821858347,1.5627654013723957,0.380749886340539
28,1.609375,1.4765625,0.56640625,2.453125,0.65234375,0,1.7447788658461967,1.4322149029170754,0.4669565867464982
75,3.953125,4.0078125,0.75390625,0.734375,0.91015625,0,2.11372058442114,1.7223907732275672,0.24345328656551116
5,3.609375,4.4765625,0.06640625,0.453125,0.15234375,0,2.1961462174062842,1.7676626088435485,0.17365150010237562
29,1.453125,3.2578125,0.12890625,2.234375,0.65234375,0,1.3401886709822597,1.2039832249056694,0.13666971775145445
83,3.953125,0.7265625,0.75390625,0.734375,0.91015625,0,2.118561244906023,1.7429390622155891,0.761954274493405
80,2.109375,4.0078125,0.75390625,0.734375,0.91015625,0,2.151468444964281,1.7553551038232058,0.19893243901829116
1,1.453125,3.2578125,0.12890625,2.234375,0.28515625,0,1.2312211809396636,0.8961287594346078,0.09096765302372822
36,1.953125,1.0078125,0.25390625,2.734375,0.41015625,0,1.3191479213409003,1.1327266968587866,0.3130205808138304
37,1.609375,1.4765625,0.56640625,2.453125,0.65234375,1,2.185966360935535,1.7180396998043908,0.4567630397016495
41,1.953125,1.0078125,0.25390625,2.734375,0.41015625,1,1.8535777053813194,1.590969363098702,0.34038257922715465
59,1.953125,3.7265625,0.25390625,2.734375,0.41015625,1,0.13944291993454905,0.13875770169723015,0.0
51,1.953125,1.0078125,0.19140625,2.734375,0.41015625,1,2.0557342962672935,1.6075022617734012,0.4033209211585405
57,1.953125,1.0078125,0.25390625,0.953125,0.41015625,1,2.132994447578288,1.7325086504287524,0.7161788337924703
91,3.953125,4.0078125,0.69140625,0.734375,0.91015625,1,2.184829996527206,1.770419053545939,0.24158437686076972
66,1.953125,1.0078125,0.25390625,2.734375,0.27734375,1,1.6258824238638145,1.2846240647162654,0.4178717699508053
71,0.109375,3.7265625,0.19140625,0.953125,0.27734375,1,2.114765802673042,1.7093317369729688,0.15798058189781777
84,3.953125,0.7265625,0.75390625,0.734375,0.91015625,1,2.0746238116129083,1.6775030218600402,0.7347212248082943
76,3.953125,4.0078125,0.75390625,0.734375,0.91015625,1,2.1794216259734767,1.7534854103273165,0.27620629329706303
45,0.109375,1.0078125,0.25390625,2.734375,0.41015625,1,0.2807199348611328,0.2460144491609897,0.2717331048952698
32,1.453125,3.2578125,0.12890625,2.234375,0.65234375,1,1.6964109429157335,1.297393555633765,0.1845197682897649
82,2.109375,4.0078125,0.75390625,0.734375,0.91015625,1,2.1790883025745313,1.7698298189011983,0.19269719808673977
16,1.453125,1.4765625,0.12890625,2.234375,0.28515625,1,2.098725821950778,1.677716889405417,0.4745192217143529
13,1.609375,3.2578125,0.12890625,2.234375,0.28515625,1,1.2801138089272681,1.0684354682472434,0.07743442523564538
97,3.953125,4.0078125,0.75390625,2.953125,0.91015625,1,0.23458829672551404,0.21122629916690805,0.0
4,3.609375,4.4765625,0.06640625,0.453125,0.15234375,1,2.194998292055709,1.78461226657598,0.21366767301433756
20,1.453125,3.2578125,0.56640625,2.234375,0.28515625,1,2.128580154935359,1.6922490878270962,0.3313411715124712
27,1.453125,3.2578125,0.12890625,2.453125,0.28515625,1,1.0655655872835048,0.7724547622909201,0.0522971327242617
2,1.453125,3.2578125,0.12890625,2.234375,0.28515625,1,1.6316640083645388,1.3890060263452182,0.13553195709257992
3,3.609375,4.4765625,0.06640625,0.453125,0.15234375,2,2.192021414320484,1.7701744618320698,0.18107822862479717
72,0.109375,3.7265625,0.19140625,0.953125,0.27734375,2,2.0737701590380464,1.6886752182231635,0.15781120399054113
52,1.953125,1.0078125,0.19140625,2.734375,0.41015625,2,1.3669928996240557,1.1620694380994367,0.25151938603495705
85,3.953125,0.7265625,0.75390625,0.734375,0.91015625,2,2.161058803019404,1.7561737717605825,0.7357075475570808
67,1.953125,1.0078125,0.25390625,2.734375,0.27734375,2,1.328160081010359,1.0004456829638166,0.4450912189936586
62,1.953125,3.7265625,0.25390625,2.734375,0.41015625,2,0.11076076335105788,0.10699458548354081,0.0
15,1.609375,3.2578125,0.12890625,2.234375,0.28515625,2,1.0308836807579362,0.8247875599070045,0.08060053460755004
58,1.953125,1.0078125,0.25390625,0.953125,0.41015625,2,2.1636169401556677,1.7743453679404602,0.6047306935861793
17,1.453125,1.4765625,0.12890625,2.234375,0.28515625,2,1.3672389765048742,1.1411244586596085,0.27517018713003816
77,3.953125,4.0078125,0.75390625,0.734375,0.91015625,2,2.180038232907838,1.7662447896059017,0.2779538995566494
96,3.953125,4.0078125,0.75390625,2.953125,0.91015625,2,0.20346960937781905,0.19164972664961477,0.0
33,1.453125,3.2578125,0.12890625,2.234375,0.65234375,2,1.8271879801267854,1.3664220724124574,0.14486576227876125
0,1.453125,3.2578125,0.12890625,2.234375,0.28515625,2,1.5463802249268137,1.3168454508691547,0.15067325342710466
92,3.953125,4.0078125,0.69140625,0.734375,0.91015625,2,2.126304966812628,1.724529801813185,0.2670928801418173
26,1.453125,3.2578125,0.12890625,2.453125,0.28515625,2,1.9553306244034512,1.556602907305886,0.23801924996607937
47,0.109375,1.0078125,0.25390625,2.734375,0.41015625,2,0.38518485931758756,0.4158757250903512,0.2668876202290233
21,1.453125,3.2578125,0.56640625,2.234375,0.28515625,2,1.5788331423614927,1.236596386431791,0.2496564951380272
39,1.609375,1.4765625,0.56640625,2.453125,0.65234375,2,1.6309972655841551,1.3403888116512421,0.3162837229493403
81,2.109375,4.0078125,0.75390625,0.734375,0.91015625,2,2.1816264107824495,1.7587746199660028,0.2318762114525588
42,1.953125,1.0078125,0.25390625,2.734375,0.41015625,2,1.1414247929807777,1.0421853224971918,0.18976907997762754
34,1.453125,3.2578125,0.12890625,2.234375,0.65234375,3,1.7190503916733209,1.3920631432740058,0.17941438868100876
79,3.953125,4.0078125,0.75390625,0.734375,0.91015625,3,2.1820373986803423,1.7743545959640503,0.20821871050718874
93,3.953125,4.0078125,0.69140625,0.734375,0.91015625,3,2.179840418731812,1.757157772115865,0.1771607711688569
